numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	400	deviance	0.8279	0.7943	826.0000	4000	1.1250
1	0.80	425	deviance	0.8338	0.7991	807.0000	4000	1.1250
1	0.80	450	deviance	0.8372	0.8007	801.0000	4000	1.2344
1	0.80	500	deviance	0.8559	0.8159	740.0000	4000	1.0625
1	0.80	525	deviance	0.8631	0.8216	717.0000	4000	1.2813
1	0.80	550	deviance	0.8701	0.8263	698.0000	4000	1.0000
1	0.80	600	deviance	0.8772	0.8324	673.0000	4000	1.1094
1	0.80	700	deviance	0.8991	0.8465	616.0000	4000	1.1563
1	0.80	800	deviance	0.9106	0.8539	588.0000	4000	1.0781
1	0.80	1000	deviance	0.9354	0.8662	538.0000	4000	1.0313
