numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	25	gdi	0.3633	0.3704	1984.0000	3199	0.8750
5	0.80	25	gdi	0.3648	0.3629	2045.0000	3199	4.4063
10	0.80	25	gdi	0.3666	0.3656	2024.8000	3199	8.1563
15	0.80	25	gdi	0.3637	0.3599	2050.9333	3199	13.1094
20	0.80	25	gdi	0.3665	0.3644	2037.5000	3199	16.7813
1	0.80	25	twoing	0.4610	0.4424	1791.0000	3199	0.8281
5	0.80	25	twoing	0.4685	0.4633	1728.0000	3199	4.1406
10	0.80	25	twoing	0.4698	0.4641	1719.5000	3199	8.5313
15	0.80	25	twoing	0.4704	0.4643	1717.6667	3199	12.4063
20	0.80	25	twoing	0.4717	0.4657	1713.3500	3199	16.6563
1	0.80	25	deviance	0.4514	0.4493	1762.0000	3199	0.7969
5	0.80	25	deviance	0.4549	0.4503	1763.2000	3199	4.2656
10	0.80	25	deviance	0.4574	0.4504	1767.5000	3199	8.3906
15	0.80	25	deviance	0.4585	0.4572	1733.1333	3199	12.1875
20	0.80	25	deviance	0.4581	0.4567	1744.7500	3199	17.2969
1	0.80	100	gdi	0.6191	0.6122	1242.0000	3199	0.9531
5	0.80	100	gdi	0.6203	0.6067	1262.8000	3199	4.2188
10	0.80	100	gdi	0.6195	0.6075	1260.7000	3199	8.8125
15	0.80	100	gdi	0.6275	0.6189	1219.8000	3199	12.6250
20	0.80	100	gdi	0.6265	0.6197	1219.2000	3199	17.1875
1	0.80	100	twoing	0.6461	0.6342	1179.0000	3199	0.8906
5	0.80	100	twoing	0.6488	0.6291	1190.0000	3199	4.5781
10	0.80	100	twoing	0.6475	0.6322	1180.3000	3199	8.5156
15	0.80	100	twoing	0.6486	0.6309	1182.0000	3199	13.2813
20	0.80	100	twoing	0.6472	0.6323	1176.5000	3199	17.8438
1	0.80	100	deviance	0.6594	0.6453	1138.0000	3199	0.8125
5	0.80	100	deviance	0.6603	0.6491	1119.8000	3199	4.2188
10	0.80	100	deviance	0.6597	0.6438	1147.0000	3199	9.3125
15	0.80	100	deviance	0.6637	0.6507	1120.3333	3199	13.1094
20	0.80	100	deviance	0.6607	0.6512	1116.8000	3199	18.2344
1	0.80	400	gdi	0.7983	0.7565	785.0000	3199	0.9063
5	0.80	400	gdi	0.7859	0.7500	803.0000	3199	4.9688
10	0.80	400	gdi	0.7949	0.7575	777.7000	3199	8.7031
15	0.80	400	gdi	0.7923	0.7542	786.8667	3199	13.4531
20	0.80	400	gdi	0.7942	0.7576	775.6500	3199	17.8906
1	0.80	400	twoing	0.8079	0.7807	700.0000	3199	0.8438
5	0.80	400	twoing	0.8112	0.7706	733.0000	3199	4.3594
10	0.80	400	twoing	0.8117	0.7683	742.1000	3199	8.8281
15	0.80	400	twoing	0.8124	0.7709	733.3333	3199	13.6563
20	0.80	400	twoing	0.8124	0.7698	737.4500	3199	18.1094
1	0.80	400	deviance	0.8250	0.7816	703.0000	3199	0.9844
5	0.80	400	deviance	0.8241	0.7847	691.4000	3199	4.9688
10	0.80	400	deviance	0.8255	0.7856	686.0000	3199	9.3281
15	0.80	400	deviance	0.8259	0.7837	693.3333	3199	13.8438
20	0.80	400	deviance	0.8263	0.7826	698.2000	3199	17.4688
1	0.80	800	gdi	0.8953	0.8306	539.0000	3199	0.7969
