distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	box	0.20000000	1	0.2338	0.2378	0.7600	0.7615	0.7729	0.7672	3200	22.5625
kernel	box	0.20000000	2	0.2333	0.2502	0.7502	0.7494	0.7632	0.7562	3200	43.8750
kernel	box	0.20000000	5	0.2341	0.2485	0.7526	0.7513	0.7654	0.7583	3200	107.8125
kernel	box	0.18000000	1	0.2305	0.2563	0.7434	0.7434	0.7593	0.7513	3200	21.5938
kernel	box	0.18000000	2	0.2327	0.2503	0.7489	0.7491	0.7625	0.7557	3200	41.8125
kernel	box	0.18000000	5	0.2333	0.2541	0.7465	0.7456	0.7617	0.7536	3200	108.0313
kernel	box	0.13000000	1	0.2352	0.2433	0.7566	0.7565	0.7714	0.7639	3200	21.9688
kernel	box	0.13000000	2	0.2355	0.2522	0.7475	0.7473	0.7608	0.7540	3200	42.6875
kernel	box	0.13000000	5	0.2336	0.2482	0.7515	0.7513	0.7671	0.7591	3200	108.2188
kernel	box	0.12000000	1	0.2355	0.2591	0.7422	0.7403	0.7555	0.7478	3200	21.8281
kernel	box	0.12000000	2	0.2341	0.2512	0.7473	0.7482	0.7632	0.7556	3200	43.3750
kernel	box	0.12000000	5	0.2340	0.2496	0.7515	0.7500	0.7663	0.7581	3200	108.1406
kernel	box	0.11000000	1	0.2384	0.2526	0.7459	0.7466	0.7584	0.7524	3200	21.7969
kernel	box	0.11000000	2	0.2330	0.2465	0.7548	0.7533	0.7687	0.7609	3200	42.3906
kernel	box	0.11000000	5	0.2338	0.2481	0.7524	0.7515	0.7661	0.7587	3200	107.6875
kernel	box	0.10000000	1	0.2348	0.2491	0.7516	0.7505	0.7635	0.7570	3200	21.9844
kernel	box	0.10000000	2	0.2352	0.2493	0.7516	0.7499	0.7662	0.7580	3200	43.6094
kernel	box	0.10000000	5	0.2334	0.2544	0.7468	0.7451	0.7597	0.7523	3200	108.0938
kernel	box	0.09000000	1	0.2319	0.2477	0.7525	0.7514	0.7675	0.7594	3200	21.7656
kernel	box	0.09000000	2	0.2356	0.2395	0.7603	0.7603	0.7725	0.7664	3200	44.2969
kernel	box	0.09000000	5	0.2342	0.2551	0.7444	0.7444	0.7603	0.7522	3200	108.0000
kernel	box	0.80000000	1	0.5107	0.5016	0.4972	0.4972	0.5345	0.5152	3200	37.5625
kernel	box	0.80000000	2	0.5042	0.5054	0.4961	0.4936	0.5363	0.5140	3200	75.0781
kernel	box	0.80000000	5	0.5047	0.5060	0.4912	0.4932	0.5302	0.5110	3200	186.0000
