distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	epanechnikov	0.20000000	1	0.2480	0.2559	0.7422	0.7435	0.7555	0.7494	3200	29.2031
kernel	epanechnikov	0.20000000	2	0.2469	0.2641	0.7362	0.7354	0.7517	0.7435	3200	56.2031
kernel	epanechnikov	0.20000000	5	0.2486	0.2597	0.7414	0.7400	0.7556	0.7477	3200	142.5000
kernel	epanechnikov	0.18000000	1	0.2356	0.2567	0.7428	0.7430	0.7581	0.7505	3200	25.7500
kernel	epanechnikov	0.18000000	2	0.2373	0.2524	0.7467	0.7469	0.7605	0.7536	3200	52.0313
kernel	epanechnikov	0.18000000	5	0.2379	0.2567	0.7439	0.7431	0.7595	0.7512	3200	131.0469
kernel	epanechnikov	0.13000000	1	0.2352	0.2433	0.7566	0.7565	0.7714	0.7639	3200	23.7500
kernel	epanechnikov	0.13000000	2	0.2355	0.2522	0.7475	0.7473	0.7608	0.7540	3200	46.3906
kernel	epanechnikov	0.13000000	5	0.2336	0.2482	0.7515	0.7513	0.7671	0.7591	3200	117.2656
kernel	epanechnikov	0.12000000	1	0.2355	0.2591	0.7422	0.7403	0.7555	0.7478	3200	23.2188
kernel	epanechnikov	0.12000000	2	0.2341	0.2512	0.7473	0.7482	0.7632	0.7556	3200	47.5781
kernel	epanechnikov	0.12000000	5	0.2340	0.2496	0.7515	0.7500	0.7663	0.7581	3200	116.5313
kernel	epanechnikov	0.11000000	1	0.2384	0.2526	0.7459	0.7466	0.7584	0.7524	3200	23.0313
kernel	epanechnikov	0.11000000	2	0.2330	0.2465	0.7548	0.7533	0.7687	0.7609	3200	46.3750
kernel	epanechnikov	0.11000000	5	0.2338	0.2481	0.7524	0.7515	0.7661	0.7587	3200	116.6875
kernel	epanechnikov	0.10000000	1	0.2348	0.2491	0.7516	0.7505	0.7635	0.7570	3200	23.2656
kernel	epanechnikov	0.10000000	2	0.2352	0.2493	0.7516	0.7499	0.7662	0.7580	3200	46.3438
kernel	epanechnikov	0.10000000	5	0.2334	0.2544	0.7468	0.7451	0.7597	0.7523	3200	117.4688
kernel	epanechnikov	0.09000000	1	0.2319	0.2477	0.7525	0.7514	0.7675	0.7594	3200	23.2344
kernel	epanechnikov	0.09000000	2	0.2356	0.2395	0.7603	0.7603	0.7725	0.7664	3200	46.3906
kernel	epanechnikov	0.09000000	5	0.2342	0.2551	0.7444	0.7444	0.7603	0.7522	3200	117.0313
kernel	epanechnikov	0.80000000	1	0.4223	0.4141	0.5859	0.5848	0.6426	0.6123	3200	44.9688
kernel	epanechnikov	0.80000000	2	0.4175	0.4180	0.5850	0.5812	0.6290	0.6042	3200	90.0938
kernel	epanechnikov	0.80000000	5	0.4174	0.4183	0.5798	0.5810	0.6294	0.6042	3200	226.2188
