distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	normal	0.20000000	1	0.2436	0.2526	0.7453	0.7466	0.7586	0.7526	3200	165.3750
kernel	normal	0.20000000	2	0.2442	0.2586	0.7420	0.7409	0.7573	0.7490	3200	326.9375
kernel	normal	0.20000000	5	0.2443	0.2527	0.7482	0.7469	0.7629	0.7548	3200	814.1406
kernel	normal	0.18000000	1	0.2392	0.2601	0.7397	0.7397	0.7562	0.7479	3200	142.1563
kernel	normal	0.18000000	2	0.2400	0.2508	0.7483	0.7485	0.7628	0.7556	3200	279.1563
kernel	normal	0.18000000	5	0.2403	0.2590	0.7416	0.7406	0.7579	0.7492	3200	700.2656
kernel	normal	0.13000000	1	0.2365	0.2435	0.7562	0.7562	0.7713	0.7637	3200	116.8438
kernel	normal	0.13000000	2	0.2365	0.2494	0.7502	0.7501	0.7636	0.7568	3200	234.0781
kernel	normal	0.13000000	5	0.2347	0.2472	0.7525	0.7523	0.7686	0.7604	3200	580.1719
kernel	normal	0.12000000	1	0.2359	0.2578	0.7434	0.7416	0.7569	0.7492	3200	95.6250
kernel	normal	0.12000000	2	0.2344	0.2519	0.7467	0.7475	0.7630	0.7552	3200	193.0313
kernel	normal	0.12000000	5	0.2345	0.2488	0.7522	0.7508	0.7673	0.7590	3200	485.2500
kernel	normal	0.11000000	1	0.2384	0.2518	0.7469	0.7474	0.7599	0.7536	3200	90.4375
kernel	normal	0.11000000	2	0.2332	0.2455	0.7559	0.7543	0.7699	0.7621	3200	178.7031
kernel	normal	0.11000000	5	0.2340	0.2471	0.7534	0.7525	0.7673	0.7598	3200	441.5625
kernel	normal	0.10000000	1	0.2350	0.2485	0.7522	0.7511	0.7643	0.7576	3200	55.4219
kernel	normal	0.10000000	2	0.2353	0.2480	0.7528	0.7512	0.7675	0.7593	3200	107.4219
kernel	normal	0.10000000	5	0.2335	0.2532	0.7480	0.7464	0.7610	0.7536	3200	272.9063
kernel	normal	0.09000000	1	0.2319	0.2465	0.7538	0.7527	0.7687	0.7606	3200	32.4688
kernel	normal	0.09000000	2	0.2356	0.2379	0.7620	0.7620	0.7744	0.7681	3200	65.5938
kernel	normal	0.09000000	5	0.2342	0.2542	0.7454	0.7453	0.7611	0.7531	3200	163.7188
