distributionName	Width	numberOfHoldOutRun	avgTrainAccuracy	avgTestAccuracy	avgMisclassifiedEntryCount	entryCount	elapsedTime
normal	-1.0000	1	0.6564	0.6603	1098.000000	3200	1.8750
kernel	0.1000	1	0.7671	0.7467	809.000000	3200	55.7656
kernel	0.0984	1	0.7662	0.7544	785.000000	3200	55.2031
kernel	0.0932	1	0.7676	0.7430	821.000000	3200	37.7500
kernel	0.0900	1	0.7661	0.7554	779.000000	3200	34.6719
normal	-1.0000	2	0.6547	0.6528	1105.000000	3200	2.2813
kernel	0.1000	2	0.7678	0.7453	810.500000	3200	106.6250
kernel	0.0984	2	0.7674	0.7517	796.500000	3200	102.8281
kernel	0.0932	2	0.7660	0.7526	787.500000	3200	77.8594
kernel	0.0900	2	0.7676	0.7403	829.000000	3200	63.6094
normal	-1.0000	5	0.6536	0.6537	1118.200000	3200	7.3281
kernel	0.1000	5	0.7659	0.7501	798.400000	3200	260.2813
kernel	0.0984	5	0.7660	0.7531	788.000000	3200	263.7344
kernel	0.0932	5	0.7655	0.7494	801.400000	3200	188.0625
kernel	0.0900	5	0.7662	0.7527	789.800000	3200	154.9531
