distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	triangle	0.13000000	1	0.2338	0.2378	0.7600	0.7615	0.7729	0.7672	3200	40.3594
kernel	triangle	0.13000000	2	0.2333	0.2502	0.7502	0.7494	0.7632	0.7562	3200	73.2344
kernel	triangle	0.13000000	5	0.2341	0.2485	0.7526	0.7513	0.7654	0.7583	3200	181.7500
kernel	triangle	0.12000000	1	0.2305	0.2563	0.7434	0.7434	0.7593	0.7513	3200	35.9375
kernel	triangle	0.12000000	2	0.2327	0.2503	0.7489	0.7491	0.7625	0.7557	3200	72.2813
kernel	triangle	0.12000000	5	0.2333	0.2541	0.7465	0.7456	0.7617	0.7536	3200	178.7813
kernel	triangle	0.11000000	1	0.2352	0.2433	0.7566	0.7565	0.7714	0.7639	3200	36.1875
kernel	triangle	0.11000000	2	0.2355	0.2522	0.7475	0.7473	0.7608	0.7540	3200	72.3906
kernel	triangle	0.11000000	5	0.2336	0.2482	0.7515	0.7513	0.7671	0.7591	3200	178.7813
kernel	triangle	0.10000000	1	0.2355	0.2591	0.7422	0.7403	0.7555	0.7478	3200	35.5156
kernel	triangle	0.10000000	2	0.2341	0.2512	0.7473	0.7482	0.7632	0.7556	3200	71.6563
kernel	triangle	0.10000000	5	0.2340	0.2496	0.7515	0.7500	0.7663	0.7581	3200	179.9063
kernel	triangle	0.09835100	1	0.2384	0.2526	0.7459	0.7466	0.7584	0.7524	3200	35.7813
kernel	triangle	0.09835100	2	0.2330	0.2465	0.7548	0.7533	0.7687	0.7609	3200	72.5000
kernel	triangle	0.09835100	5	0.2338	0.2481	0.7524	0.7515	0.7661	0.7587	3200	179.6563
kernel	triangle	0.09320000	1	0.2348	0.2491	0.7516	0.7505	0.7635	0.7570	3200	35.5313
kernel	triangle	0.09320000	2	0.2352	0.2493	0.7516	0.7499	0.7662	0.7580	3200	72.9688
kernel	triangle	0.09320000	5	0.2334	0.2544	0.7468	0.7451	0.7597	0.7523	3200	179.0156
kernel	triangle	0.09000000	1	0.2319	0.2477	0.7525	0.7514	0.7675	0.7594	3200	36.7969
kernel	triangle	0.09000000	2	0.2356	0.2395	0.7603	0.7603	0.7725	0.7664	3200	73.1406
kernel	triangle	0.09000000	5	0.2342	0.2551	0.7444	0.7444	0.7603	0.7522	3200	179.4063
kernel	triangle	0.80000000	1	0.3721	0.3703	0.6297	0.6288	0.6845	0.6555	3200	63.0781
kernel	triangle	0.80000000	2	0.3663	0.3733	0.6292	0.6261	0.6875	0.6553	3200	125.7188
kernel	triangle	0.80000000	5	0.3692	0.3737	0.6248	0.6259	0.6810	0.6523	3200	316.2188
