distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	box	0.1000	1	0.2338	0.2378	0.7600	0.7615	0.7729	0.7672	3200	20.0938
kernel	box	0.1000	2	0.2333	0.2502	0.7502	0.7494	0.7632	0.7562	3200	38.6250
kernel	box	0.1000	5	0.2341	0.2485	0.7526	0.7513	0.7654	0.7583	3200	98.1094
kernel	box	0.0984	1	0.2305	0.2563	0.7434	0.7434	0.7593	0.7513	3200	19.2656
kernel	box	0.0984	2	0.2327	0.2503	0.7489	0.7491	0.7625	0.7557	3200	40.4375
kernel	box	0.0984	5	0.2333	0.2541	0.7465	0.7456	0.7617	0.7536	3200	96.8125
kernel	box	0.0932	1	0.2352	0.2433	0.7566	0.7565	0.7714	0.7639	3200	19.6250
kernel	box	0.0932	2	0.2355	0.2522	0.7475	0.7473	0.7608	0.7540	3200	39.4375
kernel	box	0.0932	5	0.2336	0.2482	0.7515	0.7513	0.7671	0.7591	3200	97.7344
kernel	box	0.0900	1	0.2355	0.2591	0.7422	0.7403	0.7555	0.7478	3200	20.5000
kernel	box	0.0900	2	0.2341	0.2512	0.7473	0.7482	0.7632	0.7556	3200	39.7344
kernel	box	0.0900	5	0.2340	0.2496	0.7515	0.7500	0.7663	0.7581	3200	99.0000
kernel	box	0.8000	1	0.5086	0.5076	0.4941	0.4911	0.5328	0.5111	3200	32.9219
kernel	box	0.8000	2	0.5057	0.5063	0.4967	0.4929	0.5426	0.5166	3200	65.5781
kernel	box	0.8000	5	0.5058	0.5082	0.4938	0.4908	0.5336	0.5113	3200	166.0938
