distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	normal	0.1000	1	0.2341	0.2376	0.7603	0.7617	0.7732	0.7674	3200	53.5469
kernel	normal	0.1000	2	0.2334	0.2494	0.7509	0.7502	0.7638	0.7569	3200	106.3438
kernel	normal	0.1000	5	0.2342	0.2474	0.7537	0.7523	0.7665	0.7593	3200	263.3281
kernel	normal	0.0984	1	0.2306	0.2551	0.7447	0.7446	0.7608	0.7526	3200	54.7031
kernel	normal	0.0984	2	0.2326	0.2483	0.7511	0.7512	0.7648	0.7579	3200	105.4219
kernel	normal	0.0984	5	0.2333	0.2532	0.7474	0.7466	0.7627	0.7545	3200	259.2500
kernel	normal	0.0932	1	0.2352	0.2425	0.7572	0.7572	0.7722	0.7646	3200	37.2969
kernel	normal	0.0932	2	0.2355	0.2506	0.7491	0.7489	0.7621	0.7554	3200	73.7656
kernel	normal	0.0932	5	0.2336	0.2471	0.7526	0.7524	0.7682	0.7602	3200	190.2031
kernel	normal	0.0900	1	0.2355	0.2588	0.7425	0.7406	0.7559	0.7481	3200	30.4531
kernel	normal	0.0900	2	0.2341	0.2508	0.7478	0.7486	0.7638	0.7561	3200	63.3906
kernel	normal	0.0900	5	0.2341	0.2490	0.7521	0.7507	0.7669	0.7587	3200	154.7031
