distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	triangle	0.1000	1	0.2338	0.2378	0.7600	0.7615	0.7729	0.7672	3200	34.0625
kernel	triangle	0.1000	2	0.2333	0.2502	0.7502	0.7494	0.7632	0.7562	3200	67.0156
kernel	triangle	0.1000	5	0.2341	0.2485	0.7526	0.7513	0.7654	0.7583	3200	167.4688
kernel	triangle	0.0984	1	0.2305	0.2563	0.7434	0.7434	0.7593	0.7513	3200	33.5156
kernel	triangle	0.0984	2	0.2327	0.2503	0.7489	0.7491	0.7625	0.7557	3200	66.3906
kernel	triangle	0.0984	5	0.2333	0.2541	0.7465	0.7456	0.7617	0.7536	3200	170.8906
kernel	triangle	0.0932	1	0.2352	0.2433	0.7566	0.7565	0.7714	0.7639	3200	33.3906
kernel	triangle	0.0932	2	0.2355	0.2522	0.7475	0.7473	0.7608	0.7540	3200	67.1719
kernel	triangle	0.0932	5	0.2336	0.2482	0.7515	0.7513	0.7671	0.7591	3200	167.2031
kernel	triangle	0.0900	1	0.2355	0.2591	0.7422	0.7403	0.7555	0.7478	3200	34.2969
kernel	triangle	0.0900	2	0.2341	0.2512	0.7473	0.7482	0.7632	0.7556	3200	67.8906
kernel	triangle	0.0900	5	0.2340	0.2496	0.7515	0.7500	0.7663	0.7581	3200	168.5469
kernel	triangle	0.8000	1	0.3701	0.3711	0.6281	0.6281	0.6884	0.6569	3200	58.0000
kernel	triangle	0.8000	2	0.3688	0.3708	0.6331	0.6287	0.6874	0.6568	3200	118.3125
kernel	triangle	0.8000	5	0.3698	0.3754	0.6267	0.6240	0.6828	0.6521	3200	295.0313
