numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	100	gdi	0.6308	0.6394	1153.0000	3199	1.0625
5	0.80	100	gdi	0.6298	0.6190	1218.2000	3199	4.6719
10	0.80	100	gdi	0.6322	0.6246	1202.8000	3199	8.6719
15	0.80	100	gdi	0.6264	0.6156	1232.0667	3199	13.3906
20	0.80	100	gdi	0.6319	0.6206	1216.8000	3199	17.3906
1	0.80	100	twoing	0.6651	0.6485	1120.0000	3199	0.7969
5	0.80	100	twoing	0.6594	0.6463	1130.0000	3199	4.2500
10	0.80	100	twoing	0.6592	0.6500	1122.8000	3199	8.7500
15	0.80	100	twoing	0.6587	0.6473	1130.6667	3199	13.4844
20	0.80	100	twoing	0.6602	0.6470	1130.5500	3199	18.1563
1	0.80	100	deviance	0.6829	0.6608	1072.0000	3199	0.8594
5	0.80	100	deviance	0.6738	0.6583	1099.6000	3199	4.5000
10	0.80	100	deviance	0.6764	0.6645	1078.0000	3199	9.0625
15	0.80	100	deviance	0.6750	0.6656	1072.0667	3199	12.7813
20	0.80	100	deviance	0.6739	0.6631	1083.5000	3199	18.5625
1	0.80	75	gdi	0.5707	0.5657	1406.0000	3199	0.8125
5	0.80	75	gdi	0.5745	0.5608	1420.4000	3199	4.3594
10	0.80	75	gdi	0.5699	0.5624	1409.2000	3199	8.4219
15	0.80	75	gdi	0.5803	0.5733	1367.2667	3199	12.4063
20	0.80	75	gdi	0.5790	0.5724	1368.7000	3199	19.7969
1	0.80	75	twoing	0.6289	0.6165	1234.0000	3199	0.9688
5	0.80	75	twoing	0.6318	0.6152	1234.4000	3199	4.4375
10	0.80	75	twoing	0.6301	0.6182	1224.2000	3199	9.5313
15	0.80	75	twoing	0.6310	0.6160	1231.5333	3199	13.2188
20	0.80	75	twoing	0.6289	0.6179	1223.4000	3199	18.8594
1	0.80	75	deviance	0.6422	0.6292	1188.0000	3199	0.9219
5	0.80	75	deviance	0.6491	0.6368	1158.0000	3199	4.4531
10	0.80	75	deviance	0.6472	0.6333	1178.0000	3199	8.9063
15	0.80	75	deviance	0.6499	0.6391	1157.5333	3199	14.8125
20	0.80	75	deviance	0.6485	0.6389	1155.4000	3199	18.0625
1	0.80	50	gdi	0.5126	0.4930	1619.0000	3199	0.7500
5	0.80	50	gdi	0.4991	0.4913	1626.0000	3199	4.3906
10	0.80	50	gdi	0.5145	0.5086	1572.9000	3199	8.7969
15	0.80	50	gdi	0.5169	0.5144	1552.4667	3199	13.3750
20	0.80	50	gdi	0.5142	0.5099	1570.6500	3199	17.7188
1	0.80	50	twoing	0.5861	0.5928	1295.0000	3199	0.9688
5	0.80	50	twoing	0.5850	0.5765	1351.8000	3199	4.4531
10	0.80	50	twoing	0.5852	0.5772	1354.9000	3199	8.6250
15	0.80	50	twoing	0.5873	0.5798	1350.3333	3199	13.2656
20	0.80	50	twoing	0.5856	0.5791	1344.7500	3199	16.3281
1	0.80	50	deviance	0.5915	0.5848	1339.0000	3199	0.8750
5	0.80	50	deviance	0.5882	0.5812	1349.8000	3199	4.4063
10	0.80	50	deviance	0.5852	0.5770	1354.5000	3199	8.7344
15	0.80	50	deviance	0.5860	0.5809	1342.4000	3199	12.6563
20	0.80	50	deviance	0.5876	0.5810	1345.8500	3199	19.8125
1	0.80	25	gdi	0.3700	0.3756	1986.0000	3199	0.8125
5	0.80	25	gdi	0.3727	0.3702	2027.2000	3199	4.1250
10	0.80	25	gdi	0.3738	0.3749	2009.4000	3199	8.5469
15	0.80	25	gdi	0.3720	0.3707	2004.8667	3199	12.6094
20	0.80	25	gdi	0.3731	0.3703	2016.2000	3199	18.7969
1	0.80	25	twoing	0.4723	0.4775	1687.0000	3199	0.8906
5	0.80	25	twoing	0.4872	0.4854	1647.0000	3199	4.4375
10	0.80	25	twoing	0.4863	0.4787	1674.8000	3199	9.5781
15	0.80	25	twoing	0.4848	0.4767	1674.3333	3199	13.3438
20	0.80	25	twoing	0.4863	0.4825	1658.9500	3199	17.1719
1	0.80	25	deviance	0.4815	0.4710	1720.0000	3199	0.7969
5	0.80	25	deviance	0.4755	0.4724	1678.4000	3199	3.9063
10	0.80	25	deviance	0.4755	0.4704	1690.9000	3199	8.5000
15	0.80	25	deviance	0.4709	0.4698	1695.1333	3199	12.2344
20	0.80	25	deviance	0.4747	0.4721	1692.5500	3199	16.5469
1	0.70	100	gdi	0.6369	0.6241	1803.0000	4800	1.1719
5	0.70	100	gdi	0.6340	0.6241	1810.0000	4800	5.6875
10	0.70	100	gdi	0.6337	0.6237	1812.2000	4800	11.4375
15	0.70	100	gdi	0.6299	0.6186	1830.6000	4800	16.6719
20	0.70	100	gdi	0.6227	0.6124	1863.7000	4800	22.9063
1	0.70	100	twoing	0.6633	0.6495	1677.0000	4800	1.1563
5	0.70	100	twoing	0.6605	0.6504	1688.2000	4800	5.8750
10	0.70	100	twoing	0.6619	0.6427	1711.3000	4800	11.4531
15	0.70	100	twoing	0.6585	0.6438	1706.8000	4800	16.6719
20	0.70	100	twoing	0.6594	0.6462	1701.7500	4800	22.5156
1	0.70	100	deviance	0.6729	0.6571	1650.0000	4800	1.1250
5	0.70	100	deviance	0.6740	0.6625	1626.6000	4800	5.5313
10	0.70	100	deviance	0.6748	0.6633	1623.5000	4800	11.2500
15	0.70	100	deviance	0.6730	0.6587	1645.2000	4800	16.8438
20	0.70	100	deviance	0.6741	0.6593	1636.0000	4800	22.4531
1	0.70	75	gdi	0.5866	0.5974	1953.0000	4800	1.1719
5	0.70	75	gdi	0.5794	0.5710	2073.0000	4800	5.5938
10	0.70	75	gdi	0.5834	0.5728	2050.4000	4800	11.5781
15	0.70	75	gdi	0.5861	0.5783	2032.8000	4800	18.1875
20	0.70	75	gdi	0.5789	0.5688	2067.3000	4800	23.7188
1	0.70	75	twoing	0.6356	0.6264	1802.0000	4800	1.2188
5	0.70	75	twoing	0.6250	0.6158	1848.4000	4800	6.0781
10	0.70	75	twoing	0.6323	0.6232	1810.2000	4800	12.3750
15	0.70	75	twoing	0.6279	0.6194	1827.5333	4800	17.7656
20	0.70	75	twoing	0.6290	0.6199	1826.8500	4800	23.8750
1	0.70	75	deviance	0.6621	0.6425	1721.0000	4800	1.1563
5	0.70	75	deviance	0.6474	0.6349	1755.4000	4800	5.7656
10	0.70	75	deviance	0.6471	0.6346	1758.4000	4800	11.6094
15	0.70	75	deviance	0.6512	0.6382	1739.7333	4800	17.1406
