numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	75	deviance	0.6488	0.6433	1149.0000	3199	0.9844
10	0.80	75	deviance	0.6493	0.6371	1163.2000	3199	8.7031
20	0.80	75	deviance	0.6481	0.6379	1164.0000	3199	17.2813
1	0.80	100	deviance	0.6739	0.6737	1050.0000	3199	0.9688
10	0.80	100	deviance	0.6745	0.6659	1070.3000	3199	8.7031
20	0.80	100	deviance	0.6745	0.6640	1074.4500	3199	16.8281
1	0.80	125	deviance	0.6837	0.6787	1030.0000	3199	0.7656
10	0.80	125	deviance	0.6965	0.6784	1033.7000	3199	8.3594
20	0.80	125	deviance	0.6988	0.6841	1011.7000	3199	17.7188
1	0.80	150	deviance	0.7224	0.7153	912.0000	3199	0.9531
10	0.80	150	deviance	0.7199	0.7024	952.3000	3199	8.4219
20	0.80	150	deviance	0.7223	0.7055	945.7500	3199	17.4688
1	0.80	200	deviance	0.7444	0.7064	941.0000	3199	1.0938
10	0.80	200	deviance	0.7424	0.7177	903.6000	3199	8.6094
20	0.80	200	deviance	0.7388	0.7191	900.8500	3199	17.1406
