numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	75	deviance	0.6488	0.6433	1149.0000	3199	4.2969
10	0.80	75	deviance	0.6493	0.6371	1163.2000	3199	9.8125
20	0.80	75	deviance	0.6481	0.6379	1164.0000	3199	19.1250
1	0.80	100	deviance	0.6739	0.6737	1050.0000	3199	1.2188
10	0.80	100	deviance	0.6745	0.6659	1070.3000	3199	9.4219
20	0.80	100	deviance	0.6745	0.6640	1074.4500	3199	18.6094
1	0.80	125	deviance	0.6837	0.6787	1030.0000	3199	1.1250
10	0.80	125	deviance	0.6965	0.6784	1033.7000	3199	9.5313
20	0.80	125	deviance	0.6988	0.6841	1011.7000	3199	19.4688
1	0.80	150	deviance	0.7224	0.7153	912.0000	3199	0.9375
10	0.80	150	deviance	0.7199	0.7024	952.3000	3199	9.3750
20	0.80	150	deviance	0.7223	0.7055	945.7500	3199	19.3281
1	0.80	200	deviance	0.7444	0.7064	941.0000	3199	0.8906
10	0.80	200	deviance	0.7424	0.7177	903.6000	3199	8.8750
20	0.80	200	deviance	0.7388	0.7191	900.8500	3199	18.0625
1	0.80	225	deviance	0.7626	0.7520	783.0000	3199	0.8438
10	0.80	225	deviance	0.7652	0.7376	839.3000	3199	8.5156
20	0.80	225	deviance	0.7651	0.7393	834.2000	3199	17.7813
1	0.80	250	deviance	0.7745	0.7476	809.0000	3199	0.9063
10	0.80	250	deviance	0.7803	0.7475	810.2000	3199	8.4688
20	0.80	250	deviance	0.7797	0.7519	795.1500	3199	20.3281
1	0.80	300	deviance	0.7906	0.7556	786.0000	3199	1.1250
10	0.80	300	deviance	0.7937	0.7585	770.6000	3199	9.0156
20	0.80	300	deviance	0.7924	0.7587	772.3000	3199	17.4375
1	0.80	350	deviance	0.8182	0.7773	720.0000	3199	0.7969
10	0.80	350	deviance	0.8193	0.7777	711.4000	3199	11.4219
20	0.80	350	deviance	0.8189	0.7796	705.4500	3199	18.5625
1	0.80	400	deviance	0.8405	0.7974	652.0000	3199	0.8438
10	0.80	400	deviance	0.8379	0.7902	673.4000	3199	9.0000
20	0.80	400	deviance	0.8373	0.7918	666.0500	3199	18.4375
1	0.80	500	deviance	0.8665	0.8104	608.0000	3199	0.9688
10	0.80	500	deviance	0.8648	0.8071	614.1000	3199	9.0000
20	0.80	500	deviance	0.8657	0.8102	608.2000	3199	19.3906
1	0.80	600	deviance	0.8838	0.8284	550.0000	3199	0.9688
10	0.80	600	deviance	0.8871	0.8210	573.1000	3199	9.2656
20	0.80	600	deviance	0.8847	0.8223	568.5500	3199	18.3750
