numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	100	gdi	0.6201	0.6288	1185.0000	3199	1.2500
5	0.80	100	gdi	0.6235	0.6227	1210.0000	3199	4.1406
10	0.80	100	gdi	0.6204	0.6064	1259.0000	3199	8.8750
15	0.80	100	gdi	0.6244	0.6174	1227.3333	3199	12.7969
20	0.80	100	gdi	0.6261	0.6180	1223.0000	3199	16.9063
1	0.80	100	twoing	0.6532	0.6323	1179.0000	3199	0.9688
5	0.80	100	twoing	0.6469	0.6310	1186.4000	3199	4.0313
10	0.80	100	twoing	0.6486	0.6355	1169.1000	3199	8.5000
15	0.80	100	twoing	0.6478	0.6366	1161.6667	3199	12.8438
20	0.80	100	twoing	0.6465	0.6360	1167.7000	3199	17.7656
1	0.80	100	deviance	0.6512	0.6313	1157.0000	3199	0.9063
5	0.80	100	deviance	0.6599	0.6502	1120.0000	3199	4.5469
10	0.80	100	deviance	0.6578	0.6418	1146.6000	3199	8.9688
15	0.80	100	deviance	0.6605	0.6452	1136.1333	3199	13.8438
20	0.80	100	deviance	0.6631	0.6493	1122.3500	3199	17.2031
1	0.80	75	gdi	0.5792	0.5745	1352.0000	3199	0.7969
5	0.80	75	gdi	0.5763	0.5755	1352.2000	3199	4.1875
10	0.80	75	gdi	0.5777	0.5683	1383.5000	3199	8.8281
15	0.80	75	gdi	0.5792	0.5713	1372.8000	3199	12.7344
20	0.80	75	gdi	0.5779	0.5724	1361.6000	3199	18.0938
1	0.80	75	twoing	0.6216	0.5996	1274.0000	3199	0.8438
5	0.80	75	twoing	0.6160	0.6099	1246.4000	3199	4.1250
10	0.80	75	twoing	0.6188	0.6074	1254.4000	3199	8.6875
15	0.80	75	twoing	0.6182	0.6092	1251.5333	3199	12.4688
20	0.80	75	twoing	0.6165	0.6074	1259.7000	3199	18.3906
1	0.80	75	deviance	0.6268	0.6141	1239.0000	3199	0.8438
5	0.80	75	deviance	0.6345	0.6259	1194.2000	3199	4.3750
