numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	elapsedTime
1	0.90	75	gdi	0.4201	0.4330	0.5000
5	0.90	75	gdi	0.4214	0.4323	1.1719
10	0.90	75	gdi	0.4201	0.4251	3.3281
15	0.90	75	gdi	0.4223	0.4276	4.2031
20	0.90	75	gdi	0.4222	0.4299	6.3594
1	0.90	50	gdi	0.4932	0.5098	0.1719
5	0.90	50	gdi	0.4741	0.4696	1.1250
10	0.90	50	gdi	0.4864	0.4898	2.8438
15	0.90	50	gdi	0.4890	0.4942	4.2969
20	0.90	50	gdi	0.4879	0.4929	5.4688
1	0.90	25	gdi	0.6272	0.6372	0.2656
5	0.90	25	gdi	0.6262	0.6256	1.4375
10	0.90	25	gdi	0.6282	0.6250	2.7031
15	0.90	25	gdi	0.6274	0.6292	3.7656
20	0.90	25	gdi	0.6279	0.6275	5.0625
1	0.90	10	gdi	0.7488	0.7398	0.2344
5	0.90	10	gdi	0.7485	0.7477	1.3438
10	0.90	10	gdi	0.7471	0.7513	2.9063
15	0.90	10	gdi	0.7476	0.7451	3.6719
20	0.90	10	gdi	0.7474	0.7501	5.3594
1	0.90	5	gdi	0.8207	0.8203	0.3906
5	0.90	5	gdi	0.8211	0.8214	1.2813
10	0.90	5	gdi	0.8213	0.8180	2.4844
15	0.90	5	gdi	0.8213	0.8199	3.8906
20	0.90	5	gdi	0.8216	0.8209	6.0625
1	0.80	75	gdi	0.4199	0.4334	0.2500
5	0.80	75	gdi	0.4164	0.4235	1.7813
10	0.80	75	gdi	0.4208	0.4321	2.5000
15	0.80	75	gdi	0.4200	0.4305	4.2656
20	0.80	75	gdi	0.4221	0.4283	5.5313
1	0.80	50	gdi	0.4846	0.4934	0.2344
5	0.80	50	gdi	0.4733	0.4830	1.8281
10	0.80	50	gdi	0.4813	0.4904	3.0469
15	0.80	50	gdi	0.4860	0.4951	4.7813
20	0.80	50	gdi	0.4864	0.4948	5.2656
1	0.80	25	gdi	0.6262	0.6288	0.1719
5	0.80	25	gdi	0.6267	0.6264	1.0000
10	0.80	25	gdi	0.6273	0.6265	2.9063
15	0.80	25	gdi	0.6280	0.6283	4.3281
20	0.80	25	gdi	0.6274	0.6309	5.1719
1	0.80	10	gdi	0.7469	0.7420	0.3125
5	0.80	10	gdi	0.7480	0.7534	1.3125
10	0.80	10	gdi	0.7453	0.7503	2.5469
15	0.80	10	gdi	0.7466	0.7491	4.1250
20	0.80	10	gdi	0.7472	0.7491	5.8906
1	0.80	5	gdi	0.8213	0.8200	0.4219
5	0.80	5	gdi	0.8215	0.8206	1.2813
10	0.80	5	gdi	0.8208	0.8204	2.5469
15	0.80	5	gdi	0.8203	0.8208	4.4375
20	0.80	5	gdi	0.8205	0.8213	6.9531
1	0.70	75	gdi	0.4104	0.4285	0.2344
5	0.70	75	gdi	0.4237	0.4270	1.3594
10	0.70	75	gdi	0.4110	0.4246	2.7344
15	0.70	75	gdi	0.4195	0.4279	4.4688
20	0.70	75	gdi	0.4221	0.4282	5.5469
1	0.70	50	gdi	0.4835	0.4817	0.2188
5	0.70	50	gdi	0.4821	0.4878	1.5156
10	0.70	50	gdi	0.4631	0.4719	2.7500
15	0.70	50	gdi	0.4752	0.4828	4.4375
20	0.70	50	gdi	0.4785	0.4895	5.5938
1	0.70	25	gdi	0.6667	0.6707	0.3125
5	0.70	25	gdi	0.6266	0.6286	1.4688
10	0.70	25	gdi	0.6253	0.6309	2.9063
15	0.70	25	gdi	0.6352	0.6374	4.1875
20	0.70	25	gdi	0.6284	0.6333	5.4219
1	0.70	10	gdi	0.7578	0.7573	0.3906
5	0.70	10	gdi	0.7496	0.7499	1.4219
10	0.70	10	gdi	0.7483	0.7494	2.5156
15	0.70	10	gdi	0.7498	0.7518	3.9063
20	0.70	10	gdi	0.7485	0.7500	4.6563
1	0.70	5	gdi	0.8198	0.8207	0.1563
5	0.70	5	gdi	0.8207	0.8198	1.1875
10	0.70	5	gdi	0.8203	0.8210	2.3750
15	0.70	5	gdi	0.8215	0.8215	4.0469
20	0.70	5	gdi	0.8205	0.8213	5.0469
1	0.50	75	gdi	0.4065	0.4197	0.3125
5	0.50	75	gdi	0.4192	0.4386	1.3594
10	0.50	75	gdi	0.4101	0.4218	2.4375
15	0.50	75	gdi	0.4048	0.4163	3.9531
20	0.50	75	gdi	0.4133	0.4254	5.5156
1	0.50	50	gdi	0.4756	0.4740	0.3125
5	0.50	50	gdi	0.4681	0.4765	1.3594
10	0.50	50	gdi	0.4831	0.4921	2.7188
15	0.50	50	gdi	0.4610	0.4709	3.6406
20	0.50	50	gdi	0.4806	0.4892	4.8281
1	0.50	25	gdi	0.6710	0.6819	0.1719
5	0.50	25	gdi	0.6230	0.6299	1.4844
10	0.50	25	gdi	0.6370	0.6392	2.6250
15	0.50	25	gdi	0.6267	0.6306	4.2969
20	0.50	25	gdi	0.6284	0.6354	4.9063
1	0.50	10	gdi	0.7413	0.7453	0.2500
5	0.50	10	gdi	0.7430	0.7463	1.3438
10	0.50	10	gdi	0.7448	0.7507	3.0313
15	0.50	10	gdi	0.7495	0.7505	4.3281
20	0.50	10	gdi	0.7459	0.7494	5.1875
1	0.50	5	gdi	0.8221	0.8262	0.2188
5	0.50	5	gdi	0.8197	0.8212	1.2813
10	0.50	5	gdi	0.8172	0.8192	2.6094
15	0.50	5	gdi	0.8191	0.8206	4.6875
20	0.50	5	gdi	0.8195	0.8199	7.7656
