numberOfFolds	minLeafSize	minParentSize	maxNumSplit	splitCriterion	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	predictTime
2	1	6	25	gdi	0.6289	0.6285	0.3767	0.3684	NaN	NaN	3200	0.5781	0.0000
3	1	6	25	gdi	0.6274	0.6227	0.3758	0.3734	NaN	NaN	3200	0.9219	0.0000
5	1	6	25	gdi	0.6280	0.6242	0.3771	0.3724	NaN	NaN	3200	1.2344	0.0063
2	1	6	25	twoing	0.5155	0.5202	0.4741	0.4773	NaN	NaN	3200	0.7969	0.0000
3	1	6	25	twoing	0.5071	0.5226	0.4750	0.4762	NaN	NaN	3200	0.8594	0.0000
5	1	6	25	twoing	0.5144	0.5163	0.4783	0.4822	NaN	NaN	3200	1.6563	0.0187
2	1	6	25	deviance	0.5221	0.5288	0.4716	0.4686	NaN	NaN	3200	0.5781	0.0156
3	1	6	25	deviance	0.5257	0.5308	0.4671	0.4668	NaN	NaN	3200	1.3594	0.0000
5	1	6	25	deviance	0.5250	0.5267	0.4763	0.4715	NaN	NaN	3200	1.7969	0.0000
2	1	6	100	gdi	0.3646	0.3778	0.6213	0.6204	0.7367	0.6735	3200	0.5469	0.0000
3	1	6	100	gdi	0.3698	0.3621	0.6372	0.6359	0.7416	0.6847	3200	1.0781	0.0000
5	1	6	100	gdi	0.3706	0.3770	0.6238	0.6214	0.7272	0.6701	3200	2.2656	0.0063
2	1	6	100	twoing	0.3462	0.3555	0.6442	0.6436	0.7123	0.6762	3200	1.0000	0.0000
3	1	6	100	twoing	0.3405	0.3580	0.6433	0.6415	0.7066	0.6724	3200	1.0156	0.0000
5	1	6	100	twoing	0.3391	0.3489	0.6508	0.6498	0.7063	0.6768	3200	1.5781	0.0187
2	1	6	100	deviance	0.3282	0.3384	0.6633	0.6608	0.7147	0.6866	3200	0.5781	0.0000
3	1	6	100	deviance	0.3254	0.3412	0.6576	0.6564	0.7145	0.6842	3200	0.8438	0.0052
5	1	6	100	deviance	0.3261	0.3386	0.6606	0.6598	0.7142	0.6859	3200	1.6250	0.0063
2	1	6	150	gdi	0.3250	0.3428	0.6577	0.6561	0.7289	0.6906	3200	0.8750	0.0000
3	1	6	150	gdi	0.3300	0.3464	0.6515	0.6521	0.7351	0.6910	3200	1.1406	0.0052
5	1	6	150	gdi	0.3290	0.3379	0.6626	0.6609	0.7425	0.6993	3200	1.7500	0.0000
2	1	6	150	twoing	0.2912	0.3026	0.6991	0.6973	0.7300	0.7133	3200	0.6250	0.0000
3	1	6	150	twoing	0.2885	0.3093	0.6909	0.6899	0.7283	0.7086	3200	1.7813	0.0000
5	1	6	150	twoing	0.2897	0.3053	0.6946	0.6939	0.7254	0.7093	3200	1.8125	0.0000
2	1	6	150	deviance	0.2767	0.2943	0.7037	0.7039	0.7329	0.7181	3200	0.7969	0.0000
3	1	6	150	deviance	0.2758	0.3004	0.6988	0.6980	0.7342	0.7156	3200	0.8750	0.0000
5	1	6	150	deviance	0.2745	0.2952	0.7039	0.7034	0.7334	0.7181	3200	1.6406	0.0250
2	1	6	200	gdi	0.2926	0.2995	0.7011	0.6993	0.7472	0.7225	3200	0.6250	0.0234
3	1	6	200	gdi	0.2829	0.3033	0.6968	0.6953	0.7465	0.7200	3200	1.1406	0.0625
5	1	6	200	gdi	0.2952	0.3113	0.6880	0.6876	0.7462	0.7156	3200	1.6406	0.0187
2	1	6	200	twoing	0.2756	0.2928	0.7067	0.7069	0.7482	0.7269	3200	0.7031	0.0000
3	1	6	200	twoing	0.2695	0.2957	0.7043	0.7025	0.7335	0.7176	3200	1.0781	0.0000
5	1	6	200	twoing	0.2645	0.2890	0.7097	0.7098	0.7404	0.7248	3200	1.3594	0.0094
2	1	6	200	deviance	0.2675	0.2840	0.7145	0.7140	0.7395	0.7265	3200	0.8438	0.0000
3	1	6	200	deviance	0.2541	0.2867	0.7143	0.7123	0.7429	0.7272	3200	0.9219	0.0052
5	1	6	200	deviance	0.2640	0.2820	0.7182	0.7169	0.7448	0.7306	3200	1.6094	0.0000
2	1	6	400	gdi	0.1954	0.2456	0.7547	0.7537	0.7852	0.7691	3200	1.0625	0.0000
3	1	6	400	gdi	0.1956	0.2348	0.7640	0.7644	0.7985	0.7811	3200	2.3750	0.0156
5	1	6	400	gdi	0.2003	0.2356	0.7651	0.7642	0.7981	0.7808	3200	2.3281	0.0187
2	1	6	400	twoing	0.1798	0.2280	0.7720	0.7720	0.7804	0.7762	3200	0.7031	0.0000
3	1	6	400	twoing	0.1783	0.2227	0.7769	0.7766	0.7835	0.7800	3200	1.2813	0.0000
5	1	6	400	twoing	0.1830	0.2326	0.7660	0.7662	0.7774	0.7718	3200	1.9219	0.0000
2	1	6	400	deviance	0.1705	0.2122	0.7892	0.7876	0.7956	0.7916	3200	0.6719	0.0000
3	1	6	400	deviance	0.1643	0.2114	0.7894	0.7880	0.7948	0.7914	3200	1.0000	0.0000
5	1	6	400	deviance	0.1633	0.2079	0.7913	0.7913	0.7979	0.7946	3200	1.7969	0.0000
2	1	6	800	gdi	0.0996	0.1801	0.8206	0.8195	0.8250	0.8222	3200	0.6406	0.0000
3	1	6	800	gdi	0.1012	0.1714	0.8280	0.8280	0.8353	0.8316	3200	1.3125	0.0000
