numberOfFolds	minLeafSize	minParentSize	maxNumSplit	splitCriterion	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	predictTime
1	1	6	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.2969	0.0156
1	1	6	100	deviance	0.3295	0.3334	0.6663	0.6652	0.7114	0.6875	4000	0.2656	0.0000
1	1	6	150	deviance	0.2818	0.2909	0.7095	0.7083	0.7430	0.7252	4000	0.2969	0.0000
1	1	6	175	deviance	0.2708	0.2808	0.7198	0.7184	0.7516	0.7346	4000	0.5313	0.0000
1	1	6	200	deviance	0.2656	0.2771	0.7232	0.7221	0.7560	0.7386	4000	0.2969	0.0000
1	1	6	225	deviance	0.2396	0.2555	0.7435	0.7426	0.7657	0.7540	4000	0.2813	0.0000
1	1	6	250	deviance	0.2254	0.2459	0.7535	0.7522	0.7686	0.7604	4000	0.2969	0.0000
1	1	6	275	deviance	0.2161	0.2397	0.7598	0.7586	0.7732	0.7658	4000	0.4531	0.1719
1	1	6	300	deviance	0.2101	0.2339	0.7658	0.7647	0.7788	0.7717	4000	0.4375	0.0000
1	1	6	350	deviance	0.1945	0.2247	0.7762	0.7751	0.7841	0.7796	4000	0.3906	0.0000
1	1	6	400	deviance	0.1742	0.2090	0.7900	0.7906	0.7970	0.7938	4000	0.4219	0.0000
1	1	6	450	deviance	0.1633	0.2003	0.7987	0.7990	0.8065	0.8028	4000	0.3750	0.0938
1	1	6	500	deviance	0.1583	0.1982	0.8010	0.8012	0.8092	0.8052	4000	0.2969	0.0156
1	1	6	550	deviance	0.1354	0.1790	0.8200	0.8206	0.8246	0.8226	4000	0.4219	0.0000
1	1	6	600	deviance	0.1246	0.1699	0.8295	0.8298	0.8339	0.8318	4000	0.4688	0.0000
1	1	6	700	deviance	0.1126	0.1644	0.8350	0.8352	0.8394	0.8373	4000	0.2656	0.0000
1	1	6	800	deviance	0.0886	0.1488	0.8502	0.8507	0.8532	0.8520	4000	0.3906	0.0000
1	1	6	1000	deviance	0.0639	0.1352	0.8635	0.8639	0.8664	0.8651	4000	0.3125	0.0938
1	1	8	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.3125	0.0000
1	1	8	100	deviance	0.3295	0.3334	0.6663	0.6652	0.7114	0.6875	4000	0.4219	0.0000
1	1	8	150	deviance	0.2818	0.2908	0.7095	0.7083	0.7436	0.7255	4000	0.3750	0.0000
1	1	8	175	deviance	0.2705	0.2800	0.7205	0.7192	0.7524	0.7354	4000	0.3125	0.0000
1	1	8	200	deviance	0.2657	0.2771	0.7232	0.7221	0.7560	0.7386	4000	0.5313	0.1719
1	1	8	225	deviance	0.2366	0.2515	0.7475	0.7466	0.7689	0.7576	4000	0.2813	0.0000
1	1	8	250	deviance	0.2246	0.2461	0.7532	0.7521	0.7678	0.7599	4000	0.5781	0.0000
1	1	8	275	deviance	0.2160	0.2397	0.7600	0.7589	0.7735	0.7661	4000	0.3750	0.0000
1	1	8	300	deviance	0.2100	0.2340	0.7658	0.7647	0.7788	0.7717	4000	0.2969	0.0156
1	1	8	350	deviance	0.1884	0.2207	0.7792	0.7790	0.7871	0.7830	4000	0.2969	0.0156
1	1	8	400	deviance	0.1728	0.2067	0.7925	0.7929	0.7999	0.7964	4000	0.4844	0.0000
1	1	8	450	deviance	0.1627	0.1995	0.7995	0.7998	0.8077	0.8037	4000	0.3125	0.0000
1	1	8	500	deviance	0.1480	0.1871	0.8120	0.8123	0.8180	0.8151	4000	0.2813	0.0000
1	1	8	550	deviance	0.1315	0.1754	0.8237	0.8242	0.8282	0.8262	4000	0.3906	0.0000
1	1	8	600	deviance	0.1231	0.1690	0.8303	0.8305	0.8343	0.8324	4000	0.3281	0.0156
1	1	8	700	deviance	0.1079	0.1601	0.8393	0.8396	0.8430	0.8413	4000	0.5313	0.0000
1	1	8	800	deviance	0.0878	0.1475	0.8515	0.8520	0.8541	0.8530	4000	0.3906	0.0000
1	1	8	1000	deviance	0.0641	0.1347	0.8640	0.8644	0.8664	0.8654	4000	0.2969	0.0000
1	1	10	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.3594	0.0000
1	1	10	100	deviance	0.3295	0.3334	0.6663	0.6652	0.7114	0.6875	4000	0.4219	0.0000
1	1	10	150	deviance	0.2818	0.2908	0.7095	0.7083	0.7436	0.7255	4000	0.4063	0.0000
1	1	10	175	deviance	0.2705	0.2800	0.7205	0.7192	0.7524	0.7354	4000	0.4219	0.0000
1	1	10	200	deviance	0.2657	0.2771	0.7232	0.7221	0.7560	0.7386	4000	0.4375	0.0000
1	1	10	225	deviance	0.2362	0.2499	0.7492	0.7483	0.7708	0.7594	4000	0.4531	0.0000
1	1	10	250	deviance	0.2244	0.2456	0.7538	0.7526	0.7683	0.7604	4000	0.3281	0.0000
1	1	10	275	deviance	0.2158	0.2395	0.7602	0.7591	0.7737	0.7663	4000	0.3750	0.0000
1	1	10	300	deviance	0.2099	0.2340	0.7658	0.7646	0.7788	0.7716	4000	0.2188	0.0156
1	1	10	350	deviance	0.1866	0.2198	0.7802	0.7800	0.7873	0.7836	4000	0.2969	0.0000
1	1	10	400	deviance	0.1721	0.2055	0.7937	0.7941	0.8011	0.7976	4000	0.3750	0.0156
1	1	10	450	deviance	0.1628	0.1994	0.7997	0.8000	0.8080	0.8039	4000	0.3750	0.0000
1	1	10	500	deviance	0.1441	0.1841	0.8150	0.8155	0.8201	0.8178	4000	0.5781	0.0000
1	1	10	550	deviance	0.1299	0.1737	0.8255	0.8259	0.8300	0.8280	4000	0.5313	0.0000
1	1	10	600	deviance	0.1228	0.1676	0.8317	0.8319	0.8357	0.8338	4000	0.3906	0.0000
1	1	10	700	deviance	0.1009	0.1535	0.8460	0.8462	0.8499	0.8481	4000	0.4688	0.0000
1	1	10	800	deviance	0.0894	0.1466	0.8525	0.8529	0.8557	0.8543	4000	0.5156	0.0625
1	1	10	1000	deviance	0.0647	0.1343	0.8650	0.8654	0.8673	0.8663	4000	0.3125	0.0000
1	1	12	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.3594	0.0000
1	1	12	100	deviance	0.3290	0.3325	0.6673	0.6661	0.7133	0.6889	4000	0.4375	0.0000
1	1	12	150	deviance	0.2814	0.2908	0.7095	0.7083	0.7433	0.7254	4000	0.4531	0.0000
1	1	12	175	deviance	0.2704	0.2797	0.7208	0.7195	0.7530	0.7359	4000	0.4375	0.0000
1	1	12	200	deviance	0.2658	0.2771	0.7232	0.7221	0.7560	0.7387	4000	0.2969	0.0156
1	1	12	225	deviance	0.2358	0.2490	0.7502	0.7492	0.7714	0.7601	4000	0.4063	0.0000
1	1	12	250	deviance	0.2240	0.2451	0.7542	0.7531	0.7687	0.7609	4000	0.5625	0.0000
1	1	12	275	deviance	0.2154	0.2384	0.7612	0.7602	0.7746	0.7673	4000	0.2969	0.0000
1	1	12	300	deviance	0.2104	0.2343	0.7655	0.7644	0.7785	0.7714	4000	0.5313	0.0000
1	1	12	350	deviance	0.1855	0.2176	0.7823	0.7822	0.7889	0.7855	4000	0.5313	0.0000
1	1	12	400	deviance	0.1722	0.2045	0.7947	0.7951	0.8025	0.7988	4000	0.3281	0.0000
1	1	12	450	deviance	0.1638	0.1992	0.8003	0.8004	0.8084	0.8044	4000	0.3438	0.0000
1	1	12	500	deviance	0.1419	0.1831	0.8165	0.8168	0.8202	0.8185	4000	0.3438	0.0000
1	1	12	550	deviance	0.1305	0.1729	0.8267	0.8269	0.8311	0.8290	4000	0.4063	0.0000
1	1	12	600	deviance	0.1244	0.1686	0.8310	0.8312	0.8353	0.8332	4000	0.4531	0.0000
1	1	12	700	deviance	0.1006	0.1533	0.8460	0.8464	0.8490	0.8477	4000	0.2344	0.0000
1	1	12	800	deviance	0.0886	0.1474	0.8515	0.8518	0.8536	0.8527	4000	0.4219	0.0000
1	1	12	1000	deviance	0.0706	0.1409	0.8585	0.8589	0.8604	0.8596	4000	0.3906	0.0938
1	1	14	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.2969	0.0000
1	1	14	100	deviance	0.3290	0.3325	0.6673	0.6661	0.7133	0.6889	4000	0.3125	0.0000
1	1	14	150	deviance	0.2814	0.2908	0.7095	0.7083	0.7433	0.7254	4000	0.3594	0.0938
1	1	14	175	deviance	0.2704	0.2797	0.7208	0.7195	0.7530	0.7359	4000	0.3594	0.0000
1	1	14	200	deviance	0.2658	0.2771	0.7232	0.7221	0.7560	0.7387	4000	0.4531	0.0000
1	1	14	225	deviance	0.2358	0.2490	0.7502	0.7492	0.7714	0.7601	4000	0.3125	0.0156
1	1	14	250	deviance	0.2240	0.2451	0.7542	0.7531	0.7687	0.7609	4000	0.2969	0.0000
1	1	14	275	deviance	0.2154	0.2384	0.7612	0.7602	0.7746	0.7673	4000	0.3750	0.0000
1	1	14	300	deviance	0.2108	0.2345	0.7652	0.7641	0.7782	0.7711	4000	0.4844	0.0000
1	1	14	350	deviance	0.1851	0.2167	0.7830	0.7830	0.7890	0.7860	4000	0.2969	0.0000
1	1	14	400	deviance	0.1718	0.2038	0.7955	0.7958	0.8031	0.7995	4000	0.4219	0.0000
1	1	14	450	deviance	0.1606	0.1939	0.8055	0.8059	0.8126	0.8092	4000	0.3438	0.0000
1	1	14	500	deviance	0.1408	0.1796	0.8197	0.8202	0.8246	0.8224	4000	0.2656	0.0000
1	1	14	550	deviance	0.1308	0.1729	0.8267	0.8269	0.8316	0.8292	4000	0.3750	0.0938
1	1	14	600	deviance	0.1228	0.1662	0.8335	0.8337	0.8378	0.8358	4000	0.3750	0.0000
1	1	14	700	deviance	0.1034	0.1569	0.8430	0.8433	0.8470	0.8452	4000	0.4531	0.0000
1	1	14	800	deviance	0.0902	0.1498	0.8498	0.8499	0.8532	0.8516	4000	0.4063	0.0000
1	1	14	1000	deviance	0.0819	0.1475	0.8520	0.8523	0.8550	0.8536	4000	0.2500	0.0313
1	3	6	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.3750	0.0000
1	3	6	100	deviance	0.3295	0.3334	0.6663	0.6652	0.7114	0.6875	4000	0.3125	0.0000
1	3	6	150	deviance	0.2823	0.2909	0.7095	0.7083	0.7430	0.7252	4000	0.2344	0.0000
1	3	6	175	deviance	0.2712	0.2808	0.7198	0.7184	0.7516	0.7346	4000	0.3438	0.0156
1	3	6	200	deviance	0.2661	0.2776	0.7228	0.7216	0.7553	0.7381	4000	0.2969	0.0156
1	3	6	225	deviance	0.2424	0.2561	0.7438	0.7432	0.7682	0.7555	4000	0.3125	0.0000
1	3	6	250	deviance	0.2274	0.2476	0.7520	0.7506	0.7672	0.7588	4000	0.3750	0.0000
1	3	6	275	deviance	0.2173	0.2405	0.7590	0.7578	0.7723	0.7650	4000	0.4844	0.0000
1	3	6	300	deviance	0.2113	0.2351	0.7648	0.7636	0.7776	0.7705	4000	0.3906	0.0000
1	3	6	350	deviance	0.1976	0.2272	0.7738	0.7725	0.7827	0.7775	4000	0.4844	0.0000
1	3	6	400	deviance	0.1771	0.2111	0.7880	0.7885	0.7947	0.7916	4000	0.4531	0.0000
1	3	6	450	deviance	0.1656	0.2013	0.7977	0.7980	0.8055	0.8017	4000	0.2813	0.0000
1	3	6	500	deviance	0.1623	0.1999	0.7993	0.7995	0.8074	0.8034	4000	0.4219	0.0000
1	3	6	550	deviance	0.1403	0.1813	0.8177	0.8183	0.8213	0.8198	4000	0.3281	0.0156
1	3	6	600	deviance	0.1293	0.1718	0.8275	0.8278	0.8315	0.8296	4000	0.4688	0.0000
1	3	6	700	deviance	0.1193	0.1693	0.8300	0.8303	0.8337	0.8320	4000	0.3906	0.0000
1	3	6	800	deviance	0.0966	0.1545	0.8445	0.8450	0.8468	0.8459	4000	0.3281	0.0156
1	3	6	1000	deviance	0.0746	0.1385	0.8602	0.8607	0.8619	0.8613	4000	0.4844	0.0000
1	3	8	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.3750	0.0000
1	3	8	100	deviance	0.3295	0.3334	0.6663	0.6652	0.7114	0.6875	4000	0.3750	0.0000
1	3	8	150	deviance	0.2823	0.2908	0.7095	0.7083	0.7436	0.7255	4000	0.3594	0.0000
1	3	8	175	deviance	0.2709	0.2800	0.7205	0.7192	0.7524	0.7354	4000	0.3281	0.0000
1	3	8	200	deviance	0.2663	0.2779	0.7225	0.7213	0.7552	0.7378	4000	0.3906	0.0469
1	3	8	225	deviance	0.2391	0.2542	0.7448	0.7439	0.7666	0.7551	4000	0.3750	0.0938
1	3	8	250	deviance	0.2263	0.2473	0.7522	0.7510	0.7672	0.7590	4000	0.3750	0.0156
1	3	8	275	deviance	0.2173	0.2405	0.7590	0.7578	0.7723	0.7650	4000	0.2969	0.0000
1	3	8	300	deviance	0.2111	0.2350	0.7648	0.7636	0.7776	0.7705	4000	0.3750	0.0000
1	3	8	350	deviance	0.1913	0.2224	0.7780	0.7773	0.7853	0.7813	4000	0.4375	0.0938
1	3	8	400	deviance	0.1749	0.2083	0.7910	0.7913	0.7984	0.7948	4000	0.3750	0.0000
1	3	8	450	deviance	0.1645	0.2008	0.7983	0.7985	0.8064	0.8024	4000	0.3906	0.0000
1	3	8	500	deviance	0.1534	0.1909	0.8083	0.8086	0.8153	0.8119	4000	0.2969	0.0000
1	3	8	550	deviance	0.1356	0.1784	0.8207	0.8212	0.8252	0.8232	4000	0.4219	0.0000
1	3	8	600	deviance	0.1273	0.1711	0.8283	0.8284	0.8320	0.8302	4000	0.3906	0.0313
1	3	8	700	deviance	0.1144	0.1651	0.8343	0.8347	0.8375	0.8361	4000	0.4844	0.0000
1	3	8	800	deviance	0.0939	0.1518	0.8472	0.8478	0.8493	0.8485	4000	0.4688	0.0000
1	3	8	1000	deviance	0.0760	0.1393	0.8595	0.8600	0.8611	0.8605	4000	0.3750	0.0000
1	3	10	50	deviance	0.4210	0.4222	0.5763	0.5760	0.6633	0.6166	4000	0.5156	0.0000
1	3	10	100	deviance	0.3295	0.3334	0.6663	0.6652	0.7114	0.6875	4000	0.2813	0.0000
1	3	10	150	deviance	0.2823	0.2908	0.7095	0.7083	0.7436	0.7255	4000	0.3594	0.0938
1	3	10	175	deviance	0.2709	0.2800	0.7205	0.7192	0.7524	0.7354	4000	0.2969	0.0000
1	3	10	200	deviance	0.2663	0.2779	0.7225	0.7213	0.7552	0.7378	4000	0.2188	0.0000
1	3	10	225	deviance	0.2383	0.2533	0.7458	0.7449	0.7681	0.7563	4000	0.3750	0.0156
1	3	10	250	deviance	0.2254	0.2467	0.7528	0.7515	0.7672	0.7593	4000	0.4531	0.0938
