numberOfFolds	minLeafSize	minParentSize	maxNumSplit	splitCriterion	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	predictTime
2	1	6	50	deviance	0.4118	0.4259	0.5728	0.5716	0.6513	0.6089	3200	0.5781	0.0000
3	1	6	50	deviance	0.4103	0.4168	0.5866	0.5820	0.6552	0.6163	3200	0.7969	0.0208
5	1	6	50	deviance	0.4154	0.4202	0.5783	0.5780	0.6618	0.6171	3200	1.2656	0.0063
2	1	6	100	deviance	0.3358	0.3541	0.6462	0.6443	0.6866	0.6647	3200	0.7500	0.0469
3	1	6	100	deviance	0.3274	0.3405	0.6596	0.6579	0.7189	0.6870	3200	0.9844	0.0000
5	1	6	100	deviance	0.3266	0.3442	0.6563	0.6542	0.7036	0.6780	3200	1.5625	0.0313
2	1	6	200	deviance	0.2598	0.2780	0.7245	0.7216	0.7456	0.7334	3200	0.5313	0.0000
3	1	6	200	deviance	0.2598	0.2804	0.7166	0.7178	0.7416	0.7295	3200	0.8594	0.0052
5	1	6	200	deviance	0.2547	0.2824	0.7153	0.7159	0.7439	0.7296	3200	1.5313	0.0219
2	1	6	300	deviance	0.2132	0.2437	0.7556	0.7562	0.7688	0.7625	3200	0.8438	0.0000
3	1	6	300	deviance	0.2099	0.2421	0.7570	0.7565	0.7724	0.7644	3200	1.0156	0.0000
5	1	6	300	deviance	0.2068	0.2378	0.7628	0.7613	0.7782	0.7697	3200	1.8750	0.0187
2	1	6	350	deviance	0.1929	0.2296	0.7702	0.7699	0.7810	0.7754	3200	0.7969	0.0000
3	1	6	350	deviance	0.1855	0.2266	0.7717	0.7722	0.7819	0.7770	3200	0.8750	0.0000
5	1	6	350	deviance	0.1851	0.2247	0.7759	0.7747	0.7841	0.7793	3200	1.6406	0.0000
2	1	6	400	deviance	0.1582	0.2079	0.7909	0.7913	0.7977	0.7945	3200	0.8906	0.0000
3	1	6	400	deviance	0.1652	0.2061	0.7926	0.7926	0.7998	0.7962	3200	0.8594	0.0052
5	1	6	400	deviance	0.1658	0.2100	0.7910	0.7896	0.7961	0.7928	3200	1.3906	0.0000
2	1	6	450	deviance	0.1523	0.2028	0.7956	0.7960	0.8052	0.8006	3200	0.7500	0.0625
3	1	6	450	deviance	0.1548	0.1997	0.8005	0.7996	0.8045	0.8020	3200	1.0625	0.0052
5	1	6	450	deviance	0.1571	0.2101	0.7891	0.7893	0.7962	0.7927	3200	2.0156	0.0187
2	1	6	500	deviance	0.1480	0.1888	0.8105	0.8103	0.8169	0.8136	3200	0.5469	0.0078
3	1	6	500	deviance	0.1450	0.1935	0.8052	0.8055	0.8118	0.8086	3200	1.2188	0.0000
5	1	6	500	deviance	0.1421	0.1972	0.8023	0.8022	0.8093	0.8057	3200	1.7969	0.0031
2	1	6	550	deviance	0.1257	0.1809	0.8200	0.8194	0.8253	0.8224	3200	0.8438	0.0469
3	1	6	550	deviance	0.1253	0.1916	0.8079	0.8076	0.8124	0.8100	3200	1.1406	0.0000
5	1	6	550	deviance	0.1238	0.1843	0.8156	0.8151	0.8186	0.8169	3200	1.8125	0.0000
2	1	6	600	deviance	0.1179	0.1838	0.8161	0.8153	0.8203	0.8178	3200	0.6719	0.0000
3	1	6	600	deviance	0.1136	0.1717	0.8282	0.8282	0.8313	0.8297	3200	1.2969	0.0000
5	1	6	600	deviance	0.1130	0.1717	0.8289	0.8278	0.8317	0.8297	3200	1.6094	0.0000
2	1	6	800	deviance	0.0779	0.1589	0.8417	0.8407	0.8428	0.8417	3200	0.9219	0.0000
3	1	6	800	deviance	0.0800	0.1597	0.8403	0.8399	0.8407	0.8403	3200	0.8594	0.0052
5	1	6	800	deviance	0.0795	0.1588	0.8404	0.8402	0.8429	0.8416	3200	1.5625	0.0031
2	1	6	1000	deviance	0.0531	0.1429	0.8556	0.8561	0.8575	0.8568	3200	0.8906	0.0469
3	1	6	1000	deviance	0.0535	0.1515	0.8476	0.8477	0.8483	0.8480	3200	1.1250	0.0313
5	1	6	1000	deviance	0.0530	0.1506	0.8496	0.8488	0.8506	0.8497	3200	1.9063	0.0063
2	1	8	50	deviance	0.4186	0.4304	0.5714	0.5690	0.6371	0.6011	3200	0.5156	0.0078
3	1	8	50	deviance	0.4159	0.4272	0.5706	0.5713	0.6405	0.6039	3200	0.8125	0.0000
5	1	8	50	deviance	0.4122	0.4224	0.5761	0.5757	0.6454	0.6085	3200	1.2188	0.0063
2	1	8	100	deviance	0.3144	0.3268	0.6759	0.6720	0.7152	0.6930	3200	0.5156	0.0078
3	1	8	100	deviance	0.3327	0.3441	0.6543	0.6545	0.7051	0.6789	3200	1.0781	0.0000
5	1	8	100	deviance	0.3269	0.3418	0.6592	0.6567	0.7097	0.6822	3200	1.5625	0.0000
2	1	8	200	deviance	0.2671	0.2790	0.7212	0.7200	0.7536	0.7364	3200	0.7969	0.0000
3	1	8	200	deviance	0.2607	0.2771	0.7222	0.7208	0.7461	0.7332	3200	0.9844	0.0313
5	1	8	200	deviance	0.2605	0.2700	0.7295	0.7287	0.7550	0.7416	3200	1.3438	0.0281
2	1	8	300	deviance	0.2070	0.2486	0.7494	0.7498	0.7653	0.7575	3200	0.9531	0.0000
3	1	8	300	deviance	0.2041	0.2407	0.7606	0.7586	0.7709	0.7647	3200	1.0938	0.0573
5	1	8	300	deviance	0.2087	0.2328	0.7678	0.7667	0.7818	0.7741	3200	1.4531	0.0000
2	1	8	350	deviance	0.1838	0.2271	0.7714	0.7719	0.7806	0.7762	3200	0.8125	0.0000
3	1	8	350	deviance	0.1814	0.2275	0.7738	0.7718	0.7848	0.7783	3200	1.4063	0.0000
5	1	8	350	deviance	0.1813	0.2221	0.7779	0.7771	0.7844	0.7807	3200	1.5313	0.0000
2	1	8	400	deviance	0.1644	0.2217	0.7786	0.7779	0.7884	0.7831	3200	0.5781	0.0156
3	1	8	400	deviance	0.1633	0.2042	0.7944	0.7947	0.7995	0.7971	3200	0.7813	0.0000
5	1	8	400	deviance	0.1637	0.2120	0.7878	0.7869	0.7945	0.7907	3200	1.2969	0.0000
2	1	8	450	deviance	0.1556	0.2012	0.7987	0.7978	0.8046	0.8012	3200	0.5938	0.0078
3	1	8	450	deviance	0.1586	0.2068	0.7931	0.7921	0.7994	0.7957	3200	1.2344	0.0052
5	1	8	450	deviance	0.1524	0.2027	0.7985	0.7970	0.8032	0.8001	3200	1.5469	0.0000
2	1	8	500	deviance	0.1387	0.1862	0.8142	0.8137	0.8185	0.8161	3200	0.8594	0.0000
3	1	8	500	deviance	0.1351	0.1913	0.8078	0.8077	0.8115	0.8096	3200	1.0156	0.0000
5	1	8	500	deviance	0.1375	0.1931	0.8061	0.8061	0.8105	0.8083	3200	1.6094	0.0156
2	1	8	550	deviance	0.1217	0.1754	0.8247	0.8239	0.8280	0.8260	3200	0.6250	0.0078
3	1	8	550	deviance	0.1221	0.1777	0.8210	0.8210	0.8252	0.8231	3200	0.8125	0.0052
5	1	8	550	deviance	0.1219	0.1850	0.8147	0.8146	0.8178	0.8162	3200	2.1094	0.0375
2	1	8	600	deviance	0.1141	0.1798	0.8217	0.8194	0.8236	0.8215	3200	0.6563	0.0234
3	1	8	600	deviance	0.1111	0.1723	0.8261	0.8266	0.8310	0.8288	3200	1.3281	0.0000
5	1	8	600	deviance	0.1121	0.1780	0.8215	0.8209	0.8242	0.8226	3200	1.5625	0.0000
2	1	8	800	deviance	0.0789	0.1571	0.8431	0.8424	0.8460	0.8442	3200	0.5469	0.0000
3	1	8	800	deviance	0.0801	0.1616	0.8384	0.8376	0.8396	0.8386	3200	1.3750	0.0156
5	1	8	800	deviance	0.0791	0.1601	0.8395	0.8393	0.8419	0.8406	3200	1.9375	0.0063
2	1	8	1000	deviance	0.0556	0.1481	0.8520	0.8517	0.8533	0.8525	3200	0.8281	0.0234
3	1	8	1000	deviance	0.0528	0.1540	0.8461	0.8455	0.8476	0.8465	3200	0.9844	0.0052
5	1	8	1000	deviance	0.0545	0.1512	0.8491	0.8486	0.8493	0.8490	3200	1.8906	0.0156
2	1	10	50	deviance	0.4189	0.4175	0.5805	0.5801	0.6470	0.6117	3200	0.5625	0.0391
3	1	10	50	deviance	0.4156	0.4090	0.5906	0.5891	0.6645	0.6245	3200	0.8438	0.0052
5	1	10	50	deviance	0.4207	0.4241	0.5748	0.5744	0.6514	0.6103	3200	1.5156	0.0031
2	1	10	100	deviance	0.3181	0.3406	0.6602	0.6583	0.7001	0.6785	3200	0.5781	0.0000
3	1	10	100	deviance	0.3254	0.3345	0.6661	0.6643	0.7139	0.6882	3200	0.8750	0.0052
5	1	10	100	deviance	0.3233	0.3359	0.6621	0.6619	0.7170	0.6883	3200	1.8438	0.0063
2	1	10	200	deviance	0.2616	0.2732	0.7273	0.7253	0.7567	0.7407	3200	0.4375	0.0000
3	1	10	200	deviance	0.2631	0.2916	0.7077	0.7069	0.7373	0.7218	3200	0.8750	0.0000
5	1	10	200	deviance	0.2577	0.2776	0.7218	0.7211	0.7476	0.7341	3200	1.7969	0.0187
2	1	10	300	deviance	0.2132	0.2473	0.7539	0.7517	0.7683	0.7599	3200	0.6719	0.0000
3	1	10	300	deviance	0.2040	0.2374	0.7627	0.7614	0.7711	0.7662	3200	0.8125	0.0052
5	1	10	300	deviance	0.2096	0.2434	0.7561	0.7558	0.7692	0.7625	3200	1.7813	0.0000
2	1	10	350	deviance	0.1784	0.2229	0.7775	0.7768	0.7832	0.7800	3200	0.6875	0.0000
3	1	10	350	deviance	0.1771	0.2185	0.7815	0.7809	0.7902	0.7856	3200	0.7344	0.0052
5	1	10	350	deviance	0.1786	0.2174	0.7816	0.7819	0.7884	0.7851	3200	1.8906	0.0000
2	1	10	400	deviance	0.1611	0.2124	0.7873	0.7870	0.7935	0.7902	3200	0.7344	0.0000
3	1	10	400	deviance	0.1611	0.1992	0.8006	0.7999	0.8080	0.8039	3200	0.9531	0.0521
5	1	10	400	deviance	0.1611	0.2098	0.7893	0.7898	0.7969	0.7933	3200	1.7500	0.0031
2	1	10	450	deviance	0.1558	0.1973	0.8033	0.8022	0.8079	0.8050	3200	0.6875	0.0000
3	1	10	450	deviance	0.1501	0.1974	0.8032	0.8022	0.8084	0.8053	3200	1.0156	0.0000
5	1	10	450	deviance	0.1564	0.2085	0.7919	0.7908	0.7964	0.7936	3200	1.9375	0.0156
2	1	10	500	deviance	0.1336	0.1924	0.8078	0.8069	0.8119	0.8094	3200	0.5313	0.0078
3	1	10	500	deviance	0.1385	0.1930	0.8080	0.8067	0.8138	0.8102	3200	0.9531	0.0000
5	1	10	500	deviance	0.1335	0.1907	0.8104	0.8090	0.8134	0.8112	3200	1.6094	0.0031
2	1	10	550	deviance	0.1218	0.1845	0.8147	0.8144	0.8178	0.8161	3200	0.5938	0.0000
3	1	10	550	deviance	0.1193	0.1794	0.8202	0.8200	0.8231	0.8216	3200	1.0000	0.0000
5	1	10	550	deviance	0.1209	0.1822	0.8176	0.8171	0.8219	0.8195	3200	1.8594	0.0063
2	1	10	600	deviance	0.1134	0.1639	0.8344	0.8346	0.8376	0.8361	3200	0.8438	0.0000
3	1	10	600	deviance	0.1187	0.1800	0.8199	0.8191	0.8225	0.8208	3200	1.0938	0.0052
5	1	10	600	deviance	0.1147	0.1832	0.8163	0.8158	0.8196	0.8177	3200	1.5469	0.0000
2	1	10	800	deviance	0.0780	0.1487	0.8509	0.8505	0.8524	0.8514	3200	0.9063	0.0000
3	1	10	800	deviance	0.0777	0.1608	0.8385	0.8388	0.8406	0.8397	3200	1.2500	0.0000
5	1	10	800	deviance	0.0769	0.1582	0.8421	0.8413	0.8438	0.8426	3200	1.7813	0.0219
2	1	10	1000	deviance	0.0659	0.1551	0.8458	0.8443	0.8483	0.8463	3200	0.5781	0.0000
3	1	10	1000	deviance	0.0661	0.1532	0.8463	0.8462	0.8472	0.8467	3200	1.0625	0.0052
5	1	10	1000	deviance	0.0668	0.1578	0.8426	0.8416	0.8433	0.8424	3200	1.9219	0.0000
2	1	12	50	deviance	0.4123	0.4117	0.5856	0.5858	0.6670	0.6237	3200	0.5469	0.0000
3	1	12	50	deviance	0.4155	0.4180	0.5787	0.5793	0.6685	0.6206	3200	0.6875	0.0000
5	1	12	50	deviance	0.4165	0.4214	0.5797	0.5773	0.6482	0.6107	3200	1.5938	0.0156
