distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	box	0.20000000	2	2	0.2340	0.2416	0.7573	0.7578	0.7702	0.7639	3200	62.3900	5.8850
kernel	box	0.20000000	3	3	0.2340	0.2457	0.7535	0.7538	0.7690	0.7613	3200	86.1300	4.3067
kernel	box	0.20000000	5	5	0.2337	0.2516	0.7485	0.7481	0.7624	0.7552	3200	144.6200	4.2180
kernel	box	0.18000000	2	2	0.2308	0.2592	0.7412	0.7408	0.7557	0.7482	3200	50.5800	4.2050
kernel	box	0.18000000	3	3	0.2343	0.2526	0.7466	0.7473	0.7600	0.7536	3200	84.2200	4.2167
kernel	box	0.18000000	5	5	0.2349	0.2448	0.7550	0.7547	0.7694	0.7620	3200	145.4900	4.2080
kernel	box	0.13000000	2	2	0.2314	0.2550	0.7455	0.7446	0.7587	0.7516	3200	60.2800	4.1900
kernel	box	0.13000000	3	3	0.2336	0.2565	0.7425	0.7428	0.7583	0.7505	3200	84.7000	4.2233
kernel	box	0.13000000	5	5	0.2362	0.2452	0.7541	0.7543	0.7687	0.7614	3200	135.1500	4.2180
kernel	box	0.12000000	2	2	0.2328	0.2503	0.7492	0.7494	0.7618	0.7555	3200	59.5800	4.2200
kernel	box	0.12000000	3	3	0.2334	0.2490	0.7515	0.7504	0.7650	0.7577	3200	85.6600	4.2433
kernel	box	0.12000000	5	5	0.2325	0.2557	0.7443	0.7437	0.7586	0.7511	3200	141.7400	4.5340
kernel	box	0.11000000	2	2	0.2364	0.2394	0.7592	0.7602	0.7726	0.7663	3200	54.6100	5.9050
kernel	box	0.11000000	3	3	0.2337	0.2542	0.7450	0.7455	0.7589	0.7521	3200	86.5300	5.7800
kernel	box	0.11000000	5	5	0.2331	0.2501	0.7496	0.7495	0.7638	0.7566	3200	146.2400	6.1020
kernel	box	0.10000000	2	2	0.2327	0.2545	0.7467	0.7449	0.7633	0.7540	3200	50.1000	4.2200
kernel	box	0.10000000	3	3	0.2359	0.2471	0.7527	0.7525	0.7644	0.7584	3200	85.2900	5.4233
kernel	box	0.10000000	5	5	0.2344	0.2489	0.7509	0.7508	0.7656	0.7582	3200	143.9000	4.9420
kernel	box	0.09000000	2	2	0.2325	0.2519	0.7481	0.7476	0.7632	0.7553	3200	58.1600	4.2200
kernel	box	0.09000000	3	3	0.2326	0.2517	0.7480	0.7480	0.7625	0.7552	3200	84.8500	4.3733
kernel	box	0.09000000	5	5	0.2345	0.2493	0.7507	0.7501	0.7639	0.7570	3200	134.4600	4.2040
kernel	box	0.80000000	2	2	0.5043	0.5038	0.4969	0.4952	0.5404	0.5168	3200	123.7300	10.4500
kernel	box	0.80000000	3	3	0.5054	0.5057	0.4932	0.4932	0.5327	0.5122	3200	176.3700	11.6467
kernel	box	0.80000000	5	5	0.5054	0.5087	0.4914	0.4904	0.5301	0.5094	3200	291.5100	10.2120
