distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	epanechnikov	0.20000000	2	1	0.2468	0.2562	0.7427	0.7431	0.7570	0.7500	3200	50.8750	4.3750
kernel	epanechnikov	0.20000000	3	2	0.2482	0.2574	0.7418	0.7422	0.7585	0.7503	3200	75.1406	4.2969
kernel	epanechnikov	0.20000000	5	3	0.2489	0.2612	0.7391	0.7385	0.7539	0.7461	3200	129.1563	4.3625
kernel	epanechnikov	0.18000000	2	4	0.2350	0.2584	0.7420	0.7416	0.7564	0.7489	3200	45.9531	4.0781
kernel	epanechnikov	0.18000000	3	5	0.2383	0.2536	0.7454	0.7463	0.7603	0.7532	3200	70.3438	4.0260
kernel	epanechnikov	0.18000000	5	6	0.2387	0.2462	0.7537	0.7534	0.7678	0.7605	3200	117.8750	4.0969
kernel	epanechnikov	0.13000000	2	7	0.2314	0.2550	0.7455	0.7446	0.7587	0.7516	3200	41.4063	3.5859
kernel	epanechnikov	0.13000000	3	8	0.2336	0.2565	0.7425	0.7428	0.7583	0.7505	3200	61.5781	3.7031
kernel	epanechnikov	0.13000000	5	9	0.2362	0.2452	0.7541	0.7543	0.7687	0.7614	3200	106.3750	3.6625
kernel	epanechnikov	0.12000000	2	10	0.2328	0.2503	0.7492	0.7494	0.7618	0.7555	3200	41.5781	3.3281
kernel	epanechnikov	0.12000000	3	11	0.2334	0.2490	0.7515	0.7504	0.7650	0.7577	3200	63.4219	3.5938
kernel	epanechnikov	0.12000000	5	12	0.2325	0.2557	0.7443	0.7437	0.7586	0.7511	3200	106.2188	3.6156
kernel	epanechnikov	0.11000000	2	13	0.2364	0.2394	0.7592	0.7602	0.7726	0.7663	3200	40.6719	3.5703
kernel	epanechnikov	0.11000000	3	14	0.2337	0.2542	0.7450	0.7455	0.7589	0.7521	3200	61.2188	3.2969
kernel	epanechnikov	0.11000000	5	15	0.2331	0.2501	0.7496	0.7495	0.7638	0.7566	3200	102.7813	3.6313
kernel	epanechnikov	0.10000000	2	16	0.2327	0.2545	0.7467	0.7449	0.7633	0.7540	3200	40.8594	3.5781
kernel	epanechnikov	0.10000000	3	17	0.2359	0.2471	0.7527	0.7525	0.7644	0.7584	3200	62.7813	3.5521
kernel	epanechnikov	0.10000000	5	18	0.2344	0.2489	0.7509	0.7508	0.7656	0.7582	3200	103.5938	3.4344
kernel	epanechnikov	0.09000000	2	19	0.2325	0.2519	0.7481	0.7476	0.7632	0.7553	3200	41.7969	3.6406
kernel	epanechnikov	0.09000000	3	20	0.2326	0.2517	0.7480	0.7480	0.7625	0.7552	3200	61.5625	3.2708
kernel	epanechnikov	0.09000000	5	21	0.2345	0.2493	0.7507	0.7501	0.7639	0.7570	3200	105.1563	3.6063
kernel	epanechnikov	0.80000000	2	22	0.4169	0.4216	0.5798	0.5774	0.6257	0.6005	3200	81.2188	6.8438
kernel	epanechnikov	0.80000000	3	23	0.4168	0.4189	0.5811	0.5801	0.6288	0.6034	3200	121.0000	6.8125
kernel	epanechnikov	0.80000000	5	24	0.4180	0.4257	0.5759	0.5734	0.6201	0.5958	3200	202.8594	6.8625
