distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	normal	0.20000000	2	1	0.2433	0.2526	0.7463	0.7467	0.7608	0.7537	3200	323.6094	27.1875
kernel	normal	0.20000000	3	2	0.2444	0.2523	0.7469	0.7473	0.7639	0.7555	3200	481.3281	26.4063
kernel	normal	0.20000000	5	3	0.2439	0.2570	0.7434	0.7426	0.7585	0.7505	3200	802.0938	27.3219
kernel	normal	0.18000000	2	4	0.2393	0.2581	0.7425	0.7418	0.7574	0.7495	3200	272.7813	22.9063
kernel	normal	0.18000000	3	5	0.2419	0.2556	0.7433	0.7442	0.7594	0.7518	3200	412.9375	23.0365
kernel	normal	0.18000000	5	6	0.2418	0.2481	0.7517	0.7514	0.7677	0.7594	3200	686.1094	23.2156
kernel	normal	0.13000000	2	7	0.2323	0.2543	0.7463	0.7452	0.7594	0.7522	3200	228.4219	19.8828
kernel	normal	0.13000000	3	8	0.2344	0.2550	0.7441	0.7443	0.7603	0.7522	3200	340.3281	18.2917
kernel	normal	0.13000000	5	9	0.2375	0.2441	0.7552	0.7554	0.7702	0.7628	3200	564.0938	18.8750
kernel	normal	0.12000000	2	10	0.2333	0.2494	0.7500	0.7502	0.7626	0.7564	3200	187.5781	15.9141
kernel	normal	0.12000000	3	11	0.2337	0.2491	0.7515	0.7504	0.7651	0.7577	3200	281.6719	15.5156
kernel	normal	0.12000000	5	12	0.2330	0.2550	0.7451	0.7444	0.7594	0.7518	3200	467.5938	15.9719
kernel	normal	0.11000000	2	13	0.2365	0.2384	0.7602	0.7611	0.7740	0.7675	3200	171.8906	14.6016
kernel	normal	0.11000000	3	14	0.2338	0.2527	0.7465	0.7469	0.7605	0.7536	3200	258.2656	14.6823
kernel	normal	0.11000000	5	15	0.2333	0.2486	0.7511	0.7510	0.7655	0.7582	3200	430.1250	14.4000
kernel	normal	0.10000000	2	16	0.2328	0.2537	0.7475	0.7456	0.7640	0.7547	3200	101.6563	8.8516
kernel	normal	0.10000000	3	17	0.2358	0.2454	0.7544	0.7542	0.7662	0.7601	3200	154.7188	8.5781
kernel	normal	0.10000000	5	18	0.2344	0.2479	0.7519	0.7519	0.7668	0.7592	3200	258.2031	8.6937
kernel	normal	0.09000000	2	19	0.2325	0.2512	0.7489	0.7483	0.7639	0.7560	3200	63.5156	5.1875
kernel	normal	0.09000000	3	20	0.2326	0.2509	0.7489	0.7488	0.7636	0.7562	3200	92.8281	5.2188
kernel	normal	0.09000000	5	21	0.2345	0.2484	0.7516	0.7511	0.7649	0.7579	3200	155.3906	5.1781
