distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	normal	0.20000000	2	1	0.2433	0.2526	0.7463	0.7467	0.7608	0.7537	3200	311.7969	26.1484
kernel	normal	0.20000000	3	2	0.2444	0.2523	0.7469	0.7473	0.7639	0.7555	3200	468.8906	26.5938
kernel	normal	0.20000000	5	3	0.2439	0.2570	0.7434	0.7426	0.7585	0.7505	3200	786.5469	26.3219
kernel	normal	0.18000000	2	4	0.2393	0.2581	0.7425	0.7418	0.7574	0.7495	3200	270.7813	23.1172
kernel	normal	0.18000000	3	5	0.2419	0.2556	0.7433	0.7442	0.7594	0.7518	3200	402.3906	22.5000
kernel	normal	0.18000000	5	6	0.2418	0.2481	0.7517	0.7514	0.7677	0.7594	3200	671.3750	22.4344
kernel	normal	0.13000000	2	7	0.2323	0.2543	0.7463	0.7452	0.7594	0.7522	3200	225.6719	19.4297
kernel	normal	0.13000000	3	8	0.2344	0.2550	0.7441	0.7443	0.7603	0.7522	3200	334.4688	19.0156
kernel	normal	0.13000000	5	9	0.2375	0.2441	0.7552	0.7554	0.7702	0.7628	3200	558.8125	18.4937
kernel	normal	0.12000000	2	10	0.2333	0.2494	0.7500	0.7502	0.7626	0.7564	3200	187.0469	15.4453
kernel	normal	0.12000000	3	11	0.2337	0.2491	0.7515	0.7504	0.7651	0.7577	3200	276.5938	14.9063
kernel	normal	0.12000000	5	12	0.2330	0.2550	0.7451	0.7444	0.7594	0.7518	3200	462.6250	15.5000
kernel	normal	0.11000000	2	13	0.2365	0.2384	0.7602	0.7611	0.7740	0.7675	3200	170.8750	14.7969
kernel	normal	0.11000000	3	14	0.2338	0.2527	0.7465	0.7469	0.7605	0.7536	3200	259.7813	13.6823
kernel	normal	0.11000000	5	15	0.2333	0.2486	0.7511	0.7510	0.7655	0.7582	3200	416.2969	14.0375
kernel	normal	0.10000000	2	16	0.2328	0.2537	0.7475	0.7456	0.7640	0.7547	3200	103.6250	8.9141
kernel	normal	0.10000000	3	17	0.2358	0.2454	0.7544	0.7542	0.7662	0.7601	3200	151.9531	8.6771
kernel	normal	0.10000000	5	18	0.2344	0.2479	0.7519	0.7519	0.7668	0.7592	3200	256.4219	8.5094
kernel	normal	0.09000000	2	19	0.2325	0.2512	0.7489	0.7483	0.7639	0.7560	3200	61.6719	5.4688
kernel	normal	0.09000000	3	20	0.2326	0.2509	0.7489	0.7488	0.7636	0.7562	3200	91.7656	5.3490
kernel	normal	0.09000000	5	21	0.2345	0.2484	0.7516	0.7511	0.7649	0.7579	3200	160.5313	5.5594
