numberOfFolds	minLeafSize	minParentSize	maxNumSplit	splitCriterion	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	predictTime	randomSeed
2	1	6	4000	gdi	0.0405	0.1442	0.8562	0.8555	0.8564	0.8560	3200	1.0000	0.0000	1
3	1	6	4000	gdi	0.0409	0.1406	0.8592	0.8587	0.8600	0.8594	3200	1.2344	0.0313	2
5	1	6	4000	gdi	0.0425	0.1422	0.8571	0.8575	0.8580	0.8577	3200	2.4219	0.0000	3
2	1	8	4000	gdi	0.0563	0.1508	0.8495	0.8488	0.8508	0.8498	3200	0.7656	0.0000	4
3	1	8	4000	gdi	0.0555	0.1499	0.8496	0.8500	0.8510	0.8505	3200	1.4688	0.0000	5
5	1	8	4000	gdi	0.0553	0.1459	0.8538	0.8537	0.8545	0.8541	3200	2.2969	0.0344	6
2	1	10	4000	gdi	0.0682	0.1520	0.8480	0.8476	0.8504	0.8490	3200	1.0938	0.0000	7
3	1	10	4000	gdi	0.0678	0.1567	0.8425	0.8431	0.8444	0.8438	3200	1.0313	0.0313	8
5	1	10	4000	gdi	0.0673	0.1437	0.8554	0.8556	0.8567	0.8561	3200	2.1406	0.0000	9
2	3	6	4000	gdi	0.0690	0.1532	0.8469	0.8464	0.8474	0.8469	3200	0.7500	0.0000	10
3	3	6	4000	gdi	0.0674	0.1562	0.8438	0.8433	0.8448	0.8441	3200	1.0625	0.0052	11
5	3	6	4000	gdi	0.0681	0.1562	0.8446	0.8437	0.8458	0.8447	3200	2.1250	0.0000	12
2	3	8	4000	gdi	0.0780	0.1518	0.8475	0.8474	0.8483	0.8478	3200	0.7188	0.0000	13
3	3	8	4000	gdi	0.0752	0.1537	0.8459	0.8459	0.8466	0.8462	3200	1.4531	0.0313	14
5	3	8	4000	gdi	0.0774	0.1460	0.8534	0.8537	0.8548	0.8542	3200	1.9844	0.0031	15
2	3	10	4000	gdi	0.0868	0.1614	0.8380	0.8378	0.8400	0.8389	3200	0.8594	0.0078	16
3	3	10	4000	gdi	0.0854	0.1525	0.8479	0.8473	0.8484	0.8479	3200	1.2500	0.0000	17
5	3	10	4000	gdi	0.0854	0.1565	0.8424	0.8427	0.8442	0.8435	3200	2.0000	0.0094	18
2	5	6	4000	gdi	0.1011	0.1604	0.8398	0.8393	0.8403	0.8398	3200	0.7344	0.0000	19
3	5	6	4000	gdi	0.1013	0.1710	0.8280	0.8286	0.8313	0.8299	3200	1.1406	0.0052	20
5	5	6	4000	gdi	0.1021	0.1587	0.8417	0.8411	0.8433	0.8422	3200	1.7969	0.0000	21
2	5	8	4000	gdi	0.1036	0.1668	0.8344	0.8331	0.8355	0.8343	3200	0.6563	0.0078	22
3	5	8	4000	gdi	0.1034	0.1667	0.8329	0.8328	0.8344	0.8336	3200	1.0625	0.0156	23
5	5	8	4000	gdi	0.1019	0.1711	0.8289	0.8289	0.8301	0.8295	3200	2.0313	0.0063	24
2	5	10	4000	gdi	0.1017	0.1723	0.8295	0.8276	0.8293	0.8285	3200	0.8594	0.0000	25
3	5	10	4000	gdi	0.1035	0.1624	0.8372	0.8367	0.8391	0.8379	3200	1.0000	0.0313	26
