numberOfFolds	minLeafSize	minParentSize	maxNumSplit	splitCriterion	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	predictTime	randomSeed
2	1	6	4000	gdi	0.0397	0.1507	0.8495	0.8490	0.8501	0.8495	3200	1.9219	0.0234	1
3	1	6	4000	gdi	0.0404	0.1459	0.8540	0.8534	0.8548	0.8541	3200	1.5156	0.0000	2
5	1	6	4000	gdi	0.0411	0.1477	0.8517	0.8519	0.8528	0.8524	3200	2.6406	0.0219	3
2	1	8	4000	gdi	0.0554	0.1550	0.8453	0.8444	0.8465	0.8454	3200	1.0156	0.0469	4
3	1	8	4000	gdi	0.0543	0.1518	0.8473	0.8479	0.8491	0.8485	3200	1.5313	0.0000	5
5	1	8	4000	gdi	0.0537	0.1500	0.8496	0.8496	0.8502	0.8499	3200	2.3594	0.0375	6
2	1	10	4000	gdi	0.0650	0.1572	0.8433	0.8425	0.8462	0.8444	3200	0.8594	0.0000	7
3	1	10	4000	gdi	0.0677	0.1587	0.8410	0.8413	0.8425	0.8419	3200	1.2500	0.0573	8
5	1	10	4000	gdi	0.0654	0.1499	0.8494	0.8497	0.8509	0.8503	3200	2.6563	0.0000	9
2	3	6	4000	gdi	0.0671	0.1587	0.8413	0.8410	0.8417	0.8413	3200	1.1719	0.0000	10
3	3	6	4000	gdi	0.0658	0.1585	0.8411	0.8410	0.8419	0.8415	3200	1.5156	0.0052	11
5	3	6	4000	gdi	0.0669	0.1601	0.8407	0.8396	0.8419	0.8408	3200	2.5469	0.0187	12
2	3	8	4000	gdi	0.0756	0.1568	0.8423	0.8423	0.8437	0.8430	3200	0.9688	0.0469	13
3	3	8	4000	gdi	0.0736	0.1556	0.8438	0.8439	0.8461	0.8450	3200	1.2500	0.0313	14
5	3	8	4000	gdi	0.0759	0.1474	0.8518	0.8521	0.8535	0.8528	3200	1.9688	0.0250	15
2	3	10	4000	gdi	0.0849	0.1610	0.8391	0.8384	0.8408	0.8396	3200	1.0156	0.0000	16
