numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	25	gdi	0.3696	0.3756	1964.0000	3199	0.9531
5	0.80	25	gdi	0.3714	0.3698	2023.4000	3199	5.2656
10	0.80	25	gdi	0.3731	0.3714	2002.9000	3199	9.6563
15	0.80	25	gdi	0.3700	0.3657	2030.0000	3199	13.9844
20	0.80	25	gdi	0.3726	0.3722	2012.7500	3199	18.8906
1	0.80	25	twoing	0.4900	0.4802	1663.0000	3199	1.0000
5	0.80	25	twoing	0.4865	0.4810	1667.6000	3199	4.8281
10	0.80	25	twoing	0.4851	0.4787	1671.6000	3199	9.7969
15	0.80	25	twoing	0.4859	0.4801	1665.8667	3199	14.5469
20	0.80	25	twoing	0.4883	0.4833	1656.6500	3199	19.2813
1	0.80	25	deviance	0.4764	0.4744	1684.0000	3199	0.9844
5	0.80	25	deviance	0.4739	0.4722	1694.4000	3199	5.0938
10	0.80	25	deviance	0.4755	0.4706	1701.6000	3199	9.9063
15	0.80	25	deviance	0.4749	0.4752	1677.8667	3199	14.4375
20	0.80	25	deviance	0.4741	0.4749	1687.7500	3199	19.6563
1	0.80	100	gdi	0.6189	0.6117	1247.0000	3199	1.1406
5	0.80	100	gdi	0.6272	0.6133	1241.2000	3199	4.7344
10	0.80	100	gdi	0.6254	0.6134	1241.7000	3199	9.6250
15	0.80	100	gdi	0.6335	0.6248	1201.2000	3199	14.5000
20	0.80	100	gdi	0.6332	0.6239	1205.8500	3199	19.1875
1	0.80	100	twoing	0.6563	0.6435	1148.0000	3199	0.8906
5	0.80	100	twoing	0.6617	0.6423	1147.4000	3199	4.9063
10	0.80	100	twoing	0.6613	0.6459	1135.8000	3199	9.5781
15	0.80	100	twoing	0.6617	0.6448	1139.2000	3199	14.2188
20	0.80	100	twoing	0.6594	0.6458	1133.0500	3199	19.6563
1	0.80	100	deviance	0.6728	0.6561	1102.0000	3199	0.9531
5	0.80	100	deviance	0.6749	0.6619	1077.0000	3199	5.2031
10	0.80	100	deviance	0.6733	0.6584	1100.2000	3199	9.8125
15	0.80	100	deviance	0.6753	0.6628	1082.9333	3199	14.5469
20	0.80	100	deviance	0.6745	0.6624	1080.0000	3199	18.9219
1	0.80	400	gdi	0.8099	0.7611	769.0000	3199	1.1406
5	0.80	400	gdi	0.8019	0.7628	761.6000	3199	5.3594
10	0.80	400	gdi	0.8045	0.7638	757.0000	3199	10.2500
15	0.80	400	gdi	0.8051	0.7636	755.8000	3199	15.3125
20	0.80	400	gdi	0.8040	0.7645	753.1500	3199	20.2500
1	0.80	400	twoing	0.8233	0.7928	661.0000	3199	0.9531
5	0.80	400	twoing	0.8191	0.7791	707.0000	3199	4.8906
10	0.80	400	twoing	0.8217	0.7783	710.7000	3199	10.6094
15	0.80	400	twoing	0.8217	0.7764	716.9333	3199	14.8281
20	0.80	400	twoing	0.8213	0.7792	706.6500	3199	20.7344
1	0.80	400	deviance	0.8358	0.8006	638.0000	3199	0.9844
5	0.80	400	deviance	0.8356	0.7955	660.0000	3199	5.0313
10	0.80	400	deviance	0.8353	0.7926	663.3000	3199	9.9844
15	0.80	400	deviance	0.8353	0.7890	676.5333	3199	15.5000
20	0.80	400	deviance	0.8357	0.7904	673.1000	3199	20.1719
1	0.80	800	gdi	0.9103	0.8375	517.0000	3199	1.1875
5	0.80	800	gdi	0.9081	0.8337	534.4000	3199	5.4375
10	0.80	800	gdi	0.9064	0.8289	548.6000	3199	10.7031
15	0.80	800	gdi	0.9058	0.8295	545.4000	3199	16.0469
20	0.80	800	gdi	0.9064	0.8317	537.6000	3199	21.4531
1	0.80	800	twoing	0.9091	0.8421	502.0000	3199	1.1406
5	0.80	800	twoing	0.9114	0.8349	526.2000	3199	5.5625
10	0.80	800	twoing	0.9111	0.8330	536.1000	3199	10.2656
15	0.80	800	twoing	0.9117	0.8309	541.0000	3199	15.7656
20	0.80	800	twoing	0.9104	0.8337	531.3000	3199	20.7969
1	0.80	800	deviance	0.9234	0.8490	485.0000	3199	1.0938
5	0.80	800	deviance	0.9203	0.8441	495.8000	3199	5.2813
10	0.80	800	deviance	0.9229	0.8413	506.9000	3199	9.9531
15	0.80	800	deviance	0.9220	0.8431	501.4000	3199	15.8750
20	0.80	800	deviance	0.9225	0.8419	506.1000	3199	21.0469
1	0.80	1600	gdi	0.9358	0.8359	525.0000	3199	1.1094
5	0.80	1600	gdi	0.9340	0.8433	502.0000	3199	5.2500
10	0.80	1600	gdi	0.9330	0.8438	499.2000	3199	9.8750
15	0.80	1600	gdi	0.9328	0.8418	506.6000	3199	16.1094
20	0.80	1600	gdi	0.9328	0.8449	497.4000	3199	21.4063
1	0.80	1600	twoing	0.9288	0.8325	534.0000	3199	1.1094
5	0.80	1600	twoing	0.9279	0.8361	524.6000	3199	5.5313
10	0.80	1600	twoing	0.9275	0.8390	514.9000	3199	11.1875
15	0.80	1600	twoing	0.9267	0.8393	514.4000	3199	15.1250
20	0.80	1600	twoing	0.9266	0.8378	519.9500	3199	20.5938
1	0.80	1600	deviance	0.9339	0.8467	491.0000	3199	1.1406
5	0.80	1600	deviance	0.9325	0.8455	494.8000	3199	5.2188
10	0.80	1600	deviance	0.9335	0.8449	496.8000	3199	11.1250
15	0.80	1600	deviance	0.9324	0.8462	492.6667	3199	15.5156
20	0.80	1600	deviance	0.9334	0.8451	497.1500	3199	21.0938
1	0.70	25	gdi	0.3769	0.3761	3063.0000	4800	1.1406
5	0.70	25	gdi	0.3759	0.3684	3050.8000	4800	6.0781
10	0.70	25	gdi	0.3737	0.3687	3033.9000	4800	12.5156
15	0.70	25	gdi	0.3741	0.3720	3036.2000	4800	19.1094
20	0.70	25	gdi	0.3683	0.3648	3043.8000	4800	25.2188
1	0.70	25	twoing	0.4906	0.4844	2493.0000	4800	1.2500
5	0.70	25	twoing	0.4832	0.4758	2525.6000	4800	6.3594
10	0.70	25	twoing	0.4886	0.4841	2486.8000	4800	12.9844
15	0.70	25	twoing	0.4857	0.4809	2497.6000	4800	19.0313
20	0.70	25	twoing	0.4866	0.4824	2491.4500	4800	26.3281
1	0.70	25	deviance	0.4748	0.4543	2627.0000	4800	1.2188
5	0.70	25	deviance	0.4726	0.4654	2583.2000	4800	6.6094
10	0.70	25	deviance	0.4765	0.4747	2532.3000	4800	12.7969
15	0.70	25	deviance	0.4743	0.4712	2538.6667	4800	19.0938
20	0.70	25	deviance	0.4738	0.4678	2559.2000	4800	25.1250
1	0.70	100	gdi	0.6278	0.6124	1870.0000	4800	1.3125
5	0.70	100	gdi	0.6345	0.6216	1814.6000	4800	6.8438
10	0.70	100	gdi	0.6271	0.6132	1873.1000	4800	12.4063
15	0.70	100	gdi	0.6279	0.6162	1848.2000	4800	19.3125
20	0.70	100	gdi	0.6295	0.6167	1839.1500	4800	25.6250
1	0.70	100	twoing	0.6496	0.6485	1698.0000	4800	1.1406
5	0.70	100	twoing	0.6570	0.6392	1734.0000	4800	6.3750
10	0.70	100	twoing	0.6607	0.6503	1679.8000	4800	12.4063
15	0.70	100	twoing	0.6620	0.6431	1713.0667	4800	18.9063
20	0.70	100	twoing	0.6604	0.6439	1713.2000	4800	25.5156
1	0.70	100	deviance	0.6603	0.6513	1684.0000	4800	1.3281
5	0.70	100	deviance	0.6827	0.6665	1601.4000	4800	6.6406
10	0.70	100	deviance	0.6735	0.6596	1640.0000	4800	12.6406
15	0.70	100	deviance	0.6752	0.6609	1635.7333	4800	18.9844
20	0.70	100	deviance	0.6756	0.6613	1631.3500	4800	24.9375
1	0.70	400	gdi	0.8058	0.7594	1155.0000	4800	1.3906
5	0.70	400	gdi	0.8115	0.7598	1154.8000	4800	6.8750
10	0.70	400	gdi	0.8065	0.7610	1150.9000	4800	13.0156
15	0.70	400	gdi	0.8072	0.7586	1163.0000	4800	20.0625
20	0.70	400	gdi	0.8060	0.7592	1159.4000	4800	26.3438
1	0.70	400	twoing	0.8227	0.7710	1099.0000	4800	1.3594
5	0.70	400	twoing	0.8251	0.7728	1089.6000	4800	6.6094
10	0.70	400	twoing	0.8256	0.7730	1090.5000	4800	13.4063
15	0.70	400	twoing	0.8232	0.7748	1085.4667	4800	19.3594
20	0.70	400	twoing	0.8242	0.7770	1071.2000	4800	26.3438
1	0.70	400	deviance	0.8443	0.7901	1007.0000	4800	1.4063
5	0.70	400	deviance	0.8400	0.7867	1023.0000	4800	6.4531
10	0.70	400	deviance	0.8381	0.7896	1012.8000	4800	13.2344
15	0.70	400	deviance	0.8385	0.7860	1028.9333	4800	19.7656
20	0.70	400	deviance	0.8400	0.7874	1020.3000	4800	26.8906
1	0.70	800	gdi	0.9144	0.8176	874.0000	4800	1.3125
5	0.70	800	gdi	0.9156	0.8244	844.0000	4800	6.6094
10	0.70	800	gdi	0.9164	0.8287	824.5000	4800	13.4063
15	0.70	800	gdi	0.9155	0.8259	837.2000	4800	19.9844
20	0.70	800	gdi	0.9142	0.8278	828.5500	4800	26.6406
1	0.70	800	twoing	0.9196	0.8286	824.0000	4800	1.3750
5	0.70	800	twoing	0.9144	0.8297	819.4000	4800	6.7969
10	0.70	800	twoing	0.9168	0.8284	823.1000	4800	13.8438
15	0.70	800	twoing	0.9168	0.8272	831.0000	4800	20.1563
20	0.70	800	twoing	0.9161	0.8290	822.4000	4800	26.7344
1	0.70	800	deviance	0.9298	0.8403	768.0000	4800	1.4688
5	0.70	800	deviance	0.9232	0.8376	779.4000	4800	7.0313
10	0.70	800	deviance	0.9269	0.8371	784.4000	4800	13.4688
15	0.70	800	deviance	0.9260	0.8395	771.6000	4800	20.5156
20	0.70	800	deviance	0.9255	0.8363	786.5000	4800	26.5000
1	0.70	1600	gdi	0.9257	0.8317	804.0000	4800	1.3750
5	0.70	1600	gdi	0.9283	0.8333	804.6000	4800	7.1563
10	0.70	1600	gdi	0.9291	0.8342	795.6000	4800	13.7969
15	0.70	1600	gdi	0.9284	0.8348	791.7333	4800	20.3281
20	0.70	1600	gdi	0.9284	0.8329	804.3000	4800	27.0469
1	0.70	1600	twoing	0.9258	0.8312	807.0000	4800	1.2813
5	0.70	1600	twoing	0.9220	0.8290	824.8000	4800	6.6406
10	0.70	1600	twoing	0.9224	0.8311	811.4000	4800	13.5938
15	0.70	1600	twoing	0.9214	0.8329	805.4000	4800	20.7813
20	0.70	1600	twoing	0.9214	0.8288	824.8000	4800	27.0469
1	0.70	1600	deviance	0.9237	0.8301	822.0000	4800	1.3906
5	0.70	1600	deviance	0.9272	0.8384	775.6000	4800	6.6563
10	0.70	1600	deviance	0.9289	0.8360	787.6000	4800	13.7500
15	0.70	1600	deviance	0.9290	0.8372	781.4667	4800	19.9844
20	0.70	1600	deviance	0.9289	0.8385	775.6500	4800	27.1563
