numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	50	deviance	0.5802	0.5767	1361.0000	3199	1.1563
10	0.80	50	deviance	0.5871	0.5820	1337.9000	3199	10.3906
20	0.80	50	deviance	0.5843	0.5735	1368.1500	3199	20.7969
1	0.80	100	deviance	0.6678	0.6429	1152.0000	3199	0.9844
10	0.80	100	deviance	0.6727	0.6599	1086.7000	3199	10.0781
20	0.80	100	deviance	0.6743	0.6629	1080.4000	3199	19.9219
1	0.80	200	deviance	0.7373	0.7343	851.0000	3199	0.9844
10	0.80	200	deviance	0.7423	0.7174	902.8000	3199	10.1406
20	0.80	200	deviance	0.7384	0.7184	904.7000	3199	20.3750
1	0.80	300	deviance	0.7963	0.7700	739.0000	3199	1.1563
10	0.80	300	deviance	0.7958	0.7590	770.3000	3199	9.6250
20	0.80	300	deviance	0.7937	0.7570	780.9000	3199	20.6094
1	0.80	350	deviance	0.8201	0.7925	664.0000	3199	1.1563
10	0.80	350	deviance	0.8212	0.7806	706.1000	3199	10.1875
20	0.80	350	deviance	0.8199	0.7801	703.8000	3199	20.0781
1	0.80	400	deviance	0.8365	0.7936	660.0000	3199	0.9219
10	0.80	400	deviance	0.8352	0.7896	675.6000	3199	10.0313
20	0.80	400	deviance	0.8356	0.7903	670.8000	3199	20.5625
1	0.80	450	deviance	0.8386	0.7952	660.0000	3199	1.0938
10	0.80	450	deviance	0.8465	0.7953	656.1000	3199	10.2969
20	0.80	450	deviance	0.8454	0.7971	651.8000	3199	20.3281
1	0.80	500	deviance	0.8676	0.8174	580.0000	3199	1.0938
10	0.80	500	deviance	0.8648	0.8107	608.6000	3199	10.2813
20	0.80	500	deviance	0.8655	0.8106	606.7000	3199	20.8125
1	0.80	550	deviance	0.8798	0.8189	581.0000	3199	0.9219
10	0.80	550	deviance	0.8778	0.8202	575.7000	3199	10.3438
20	0.80	550	deviance	0.8766	0.8179	582.6500	3199	20.3906
1	0.80	600	deviance	0.8887	0.8243	557.0000	3199	1.1094
10	0.80	600	deviance	0.8858	0.8235	563.9000	3199	10.4844
20	0.80	600	deviance	0.8857	0.8224	568.1000	3199	20.7813
1	0.80	800	deviance	0.9220	0.8434	501.0000	3199	1.0000
10	0.80	800	deviance	0.9216	0.8453	496.0000	3199	10.8906
20	0.80	800	deviance	0.9207	0.8424	504.4500	3199	21.2813
1	0.80	1000	deviance	0.9326	0.8495	487.0000	3199	1.0156
10	0.80	1000	deviance	0.9336	0.8451	495.7000	3199	10.8438
20	0.80	1000	deviance	0.9329	0.8477	488.6000	3199	20.4375
